protein_id,chain,sequence_length
1cmn_A,A,399
1cnz_A,A,363
1cnz_B,B,363
1coy_A,A,501
1cp4_A,A,405
1cpu_A,A,495
1cpx_A,A,305
1cq1_A,A,444
1cq1_B,B,446
1cqx_A,A,403
1cqx_B,B,403
1cru_A,A,448
1cru_B,B,452
1crw_G,G,333
1crw_R,R,333
1crz_A,A,397
1cs0_B,B,378
1cs0_D,D,378
1cs0_F,F,378
1cs0_H,H,378
1cs1_A,A,383
1cs1_B,B,383
1cs1_C,C,383
1cs1_D,D,383
1cs6_A,A,382
1cs8_A,A,310
1csh_A,A,435
1csi_A,A,435
1csr_A,A,435
1css_A,A,435
1ct9_A,A,497
1ct9_B,B,495
1ct9_C,C,495
1ct9_D,D,495
1cvl_A,A,316
1cvr_A,A,432
1cw2_B,B,387
1cwn_A,A,324
1cwy_A,A,500
1cxl_A,A,686
1cxp_C,C,465
1cxp_D,D,465
1cz1_A,A,394
1czf_A,A,335
1czf_B,B,335
1d0c_A,A,416
1d0c_B,B,414
1d0l_A,A,314
1d0o_A,A,416
1d0o_B,B,414
1d0s_A,A,346
1d0v_A,A,346
1d0x_A,A,740
1d0y_A,A,741
1d0z_A,A,742
1d1a_A,A,745
1d1b_A,A,736
1d1v_A,A,416
1d1v_B,B,414
1d1w_A,A,416
1d1w_B,B,414
1d1x_A,A,416
1d1x_B,B,414
1d2e_A,A,397
1d2e_B,B,397
1d2e_C,C,397
1d2e_D,D,397
1d2m_A,A,552
1d2v_C,C,465
1d2v_D,D,465
1d3c_A,A,686
1d3g_A,A,360
1d3h_A,A,364
1d3k_A,A,329
1d3v_A,A,308
1d3v_B,B,308
1d4n_A,A,329
1d4x_A,A,368
1d5l_C,C,465
1d5l_D,D,465
1d5t_A,A,433
1d6f_A,A,389
1d6i_A,A,387
1d6i_B,B,387
1d7f_A,A,686
1d7f_B,B,686
1d7r_A,A,431
1d7u_A,A,431
1d7w_C,C,465
1d7w_D,D,465
1d8c_A,A,688
1d8d_A,A,323
1d8d_B,B,407
1d8w_A,A,394
1d8w_B,B,394
1d8w_C,C,393
1d8w_D,D,394
1d9v_A,A,309
1dbg_A,A,481
1dbo_A,A,481
1dc1_A,A,310
1dc1_B,B,311
1dc5_A,A,330
1dc5_B,B,330
1dc6_A,A,330
1dc6_B,B,330
1dce_A,A,566
1dce_B,B,329
1dce_C,C,566
1dce_D,D,329
1dd9_A,A,310
1dde_A,A,310
1ddt_A,A,523
1ded_A,A,686
1ded_B,B,686
1dfa_A,A,405
1dg3_A,A,540
1dgf_A,A,497
1dgf_B,B,497
1dgf_C,C,497
1dgf_D,D,497
1dgg_A,A,497
1dgg_B,B,497
1dgg_C,C,497
1dgg_D,D,497
1dgh_A,A,497
1dgh_B,B,497
1dgh_C,C,498
1dgh_D,D,497
1dgm_A,A,346
1dhk_A,A,495
1dil_A,A,381
1dim_A,A,381
1diw_A,A,441
1dj9_A,A,383
1dje_A,A,383
1djo_A,A,330
1djo_B,B,330
1djp_A,A,330
1djp_B,B,330
1dki_A,A,300
1dki_B,B,317
1dki_C,C,335
1dki_D,D,330
1dl2_A,A,510
1dl5_A,A,317
1dl5_B,B,316
1dlg_A,A,418
1dlg_B,B,418
1dlj_A,A,402
1dll_A,A,441
1dlm_A,A,309
1dlm_B,B,309
1dlt_A,A,309
1dlt_B,B,309
1dm3_A,A,388
1dm3_B,B,388
1dm3_C,C,388
1dm3_D,D,388
1dm5_A,A,315
1dm5_B,B,315
1dm5_C,C,315
1dm5_D,D,315
1dm5_E,E,315
1dm5_F,F,315
1dm6_A,A,416
1dm6_B,B,414
1dmb_A,A,370
1dmh_A,A,309
1dmh_B,B,309
1dmi_A,A,416
1dmi_B,B,414
1dmk_A,A,416
1dmk_B,B,414
1dms_A,A,766
1dmw_A,A,307
1dnc_A,A,460
1dnu_C,C,465
1dnu_D,D,465
1dnw_C,C,465
1dnw_D,D,465
1dob_A,A,394
1doc_A,A,394
1dor_A,A,311
1dor_B,B,311
1dos_A,A,358
1dos_B,B,358
1doz_A,A,309
1dp4_A,A,425
1dp4_C,C,429
1dpe_A,A,507
1dpg_A,A,485
1dpg_B,B,485
1dpj_A,A,329
1dqa_A,A,409
1dqa_B,B,405
1dqa_C,C,404
1dqa_D,D,396
1dqs_A,A,381
1dqs_B,B,380
1dry_A,A,316
1ds0_A,A,323
1ds1_A,A,323
1dss_G,G,332
1dss_R,R,332
1dtd_A,A,303
1duv_G,G,333
1duv_H,H,333
1duv_I,I,333
1dv1_A,A,434
1dv1_B,B,428
1dwa_M,M,499
1dwf_M,M,499
1dwg_M,M,499
1dwh_M,M,499
1dwi_M,M,499
1dxr_C,C,332
1dxr_M,M,323
1dxy_A,A,330
1dy4_A,A,433
1dy7_A,A,434
1dy7_B,B,536
1dyk_A,A,374
1dym_A,A,397
1dys_A,A,345
1dys_B,B,345
1dz4_A,A,404
1dz4_B,B,405
1dz6_A,A,404
1dz6_B,B,405
1dz8_A,A,404
1dz8_B,B,405
1dz9_A,A,404
1dz9_B,B,405
1e0t_A,A,446
1e0t_B,B,446
1e0t_C,C,446
1e0t_D,D,446
1e0v_A,A,302
1e0w_A,A,302
1e0x_A,A,310
1e0x_B,B,310
1e15_A,A,496
1e15_B,B,496
1e19_A,A,313
1e19_B,B,313
1e1a_A,A,312
1e1d_A,A,553
1e1k_A,A,455
1e1m_A,A,455
1e2h_A,A,306
1e2h_B,B,311
1e2i_A,A,300
1e2i_B,B,313
1e2k_A,A,308
1e2k_B,B,316
1e2r_A,A,532
1e2r_B,B,543
1e2u_A,A,552
1e39_A,A,568
1e3a_B,B,560
1e3d_B,B,537
1e3d_D,D,537
1e3x_A,A,483
1e3z_A,A,483
1e43_A,A,483
1e4f_T,T,378
1e4i_A,A,447
1e4m_M,M,499
1e55_A,A,492
1e55_B,B,490
1e5j_A,A,302
1e5m_A,A,411
1e5t_A,A,710
1e6p_A,A,498
1e6p_B,B,497
1e6q_M,M,499
1e6s_M,M,499
1e6u_A,A,315
1e6x_M,M,499
1e6y_A,A,564
1e6y_B,B,432
1e6y_D,D,564
1e6y_E,E,433
1e6z_A,A,498
1e6z_B,B,498
1e70_M,M,499
1e71_M,M,499
1e72_M,M,499
1e73_M,M,499
1e7q_A,A,314
1e7r_A,A,314
1e7s_A,A,314
1e8c_A,A,483
1e8c_B,B,484
1e8m_A,A,710
1e8n_A,A,710
1e8u_A,A,447
1e8u_B,B,450
1e8v_A,A,447
1e8v_B,B,446
1e93_A,A,475
1e9v_A,A,552
1ea5_A,A,532
1ea7_A,A,309
1eb3_A,A,340
1eb4_A,A,506
1ebh_A,A,436
1ebh_B,B,436
1ebl_A,A,309
1ebl_B,B,309
1ec7_A,A,429
1ec7_B,B,440
1ec7_C,C,428
1ec7_D,D,431
1ec8_A,A,442
1ec8_B,B,442
1ec8_C,C,442
1ec8_D,D,442
1ec9_A,A,443
1ec9_B,B,443
1ec9_C,C,443
1ec9_D,D,444
1ecf_A,A,492
1ecf_B,B,500
1ecl_A,A,552
1ecq_A,A,444
1ecq_B,B,442
1ecq_C,C,443
1ecq_D,D,442
1ed4_A,A,416
1ed4_B,B,414
1ed5_A,A,416
1ed5_B,B,414
1ed8_A,A,449
1ed8_B,B,449
1ed9_A,A,449
1ed9_B,B,449
1ede_A,A,310
1edg_A,A,380
1edq_A,A,540
1ee2_A,A,373
1ee2_B,B,373
1ee3_P,P,305
1eed_P,P,327
1eeh_A,A,431
1eex_A,A,551
1eex_L,L,551
1efz_A,A,372
1eg5_A,A,353
1eg5_B,B,354
1eg9_A,A,447
1egm_A,A,551
1egm_L,L,551
1egn_A,A,433
1egu_A,A,721
1egv_A,A,551
1egv_L,L,551
1eh3_A,A,324
1ehe_A,A,399
1ehf_A,A,399
1ehg_A,A,399
1ehn_A,A,540
1ei5_A,A,518
1eib_A,A,540
1ejc_A,A,418
1ejd_A,A,418
1ejd_B,B,418
1ejj_A,A,508
1ejr_C,C,552
1ejs_C,C,565
1ejt_C,C,565
1eju_C,C,552
1ejw_C,C,565
1ejx_C,C,555
1ek4_A,A,406
1ek4_B,B,406
1ek4_C,C,406
1ek4_D,D,406
1ek5_A,A,346
1ek6_A,A,346
1ek6_B,B,345
1ekf_A,A,365
1ekf_B,B,365
1ekx_A,A,310
1ekx_B,B,308
1ekx_C,C,308
1el3_A,A,316
1el5_A,A,385
1el5_B,B,385
1el7_A,A,385
1el7_B,B,385
1el8_A,A,385
1el8_B,B,385
1el9_A,A,378
1el9_B,B,378
1eli_A,A,378
1eli_B,B,378
1elj_A,A,379
1ell_P,P,305
1elm_P,P,305
1elq_A,A,381
1elq_B,B,381
1elu_A,A,381
1elu_B,B,381
1elv_A,A,303
1emd_A,A,312
1ent_E,E,328
1enu_A,A,372
1eo5_A,A,686
1epl_E,E,327
1epm_E,E,327
1epn_E,E,327
1epo_E,E,327
1epp_E,E,327
1epq_E,E,327
1epx_A,A,357
1epx_B,B,357
1epx_C,C,357
1epx_D,D,357
1eq2_D,D,306
1eq2_F,F,306
1eq2_G,G,306
1eq2_I,I,306
1eqc_A,A,394
1eqj_A,A,508
1eqp_A,A,394
1er8_E,E,327
1erz_A,A,303
1erz_B,B,303
1esv_A,A,358
1esw_A,A,500
1et5_A,A,336
1et7_A,A,339
1et8_A,A,339
1eu1_A,A,766
1eu8_A,A,407
1euh_A,A,474
1euh_B,B,474
1euh_C,C,474
1euh_D,D,474
1eur_A,A,361
1eus_A,A,358
1evk_A,A,401
1evk_B,B,401
1evl_A,A,401
1evl_B,B,401
1evl_C,C,401
1evl_D,D,401
1evy_A,A,346
1ew2_A,A,479
1ew9_A,A,449
1ew9_B,B,449
1ewf_A,A,456
1ex0_A,A,705
1ex0_B,B,716
1exm_A,A,403
1exp_A,A,312
1eyb_A,A,410
1eyn_A,A,418
1eyw_A,A,329
1eyz_A,A,389
1eyz_B,B,389
1ez1_A,A,389
1ez1_B,B,389
1ez2_A,A,328
1ez2_B,B,328
1ez9_A,A,370
1ez9_B,B,370
1ezw_A,A,347
1f07_A,A,321
1f07_B,B,321
1f07_C,C,321
1f07_D,D,321
1f0i_A,A,496
1f0j_A,A,351
1f0j_B,B,337
1f0k_A,A,351
1f0k_B,B,351
1f0l_A,A,520
1f0l_B,B,522
1f0x_A,A,502
1f0x_B,B,502
1f1r_A,A,321
1f1r_B,B,321
1f1u_A,A,322
1f1u_B,B,321
1f1v_A,A,320
1f1v_B,B,320
1f1x_A,A,319
1f1x_B,B,319
1f1x_C,C,319
1f1x_D,D,319
1f20_A,A,435
1f24_A,A,399
1f25_A,A,399
1f26_A,A,399
1f2d_A,A,341
1f2d_B,B,341
1f2d_C,C,341
1f2d_D,D,341
1f2j_A,A,357
1f3e_A,A,372
1f3t_A,A,378
1f3t_B,B,381
1f3t_C,C,370
1f3t_D,D,367
1f4l_A,A,545
1f4t_A,A,367
1f4t_B,B,367
1f57_A,A,307
1f5n_A,A,570
1f60_A,A,440
1f61_A,A,418
1f61_B,B,418
1f8b_A,A,388
1f8c_A,A,388
1f8d_A,A,388
1f8e_A,A,388
1f8g_A,A,368
1f8g_B,B,366
1f8g_C,C,360
1f8g_D,D,362
1f8m_A,A,427
1f8m_B,B,427
1f8m_C,C,427
1f8m_D,D,427
1f8r_A,A,483
1f8r_B,B,483
1f8r_C,C,483
1f8r_D,D,483
1f8s_A,A,482
1f8s_B,B,482
1f8s_C,C,482
1f8s_D,D,482
1f8s_E,E,482
1f8s_F,F,482
1f8s_G,G,482
1f8s_H,H,482
1f9g_A,A,721
1f9t_A,A,304
1f9u_A,A,310
1f9v_A,A,313
1fae_A,A,629
1fbw_A,A,629
1fc4_A,A,389
1fc4_B,B,389
1fc6_A,A,382
1fc7_A,A,386
1fc9_A,A,386
1fce_A,A,629
1fcj_A,A,302
1fcj_B,B,304
1fcj_C,C,304
1fcj_D,D,302
1fcq_A,A,314
1feb_A,A,487
1feb_B,B,484
1fec_A,A,485
1fec_B,B,485
1feh_A,A,574
1ff9_A,A,447
1ffq_A,A,540
1ffr_A,A,540
1fg7_A,A,351
1fh7_A,A,312
1fh8_A,A,312
1fh9_A,A,312
1fhd_A,A,312
1fhv_A,A,322
1fj3_A,A,316
1fjo_A,A,316
1fjq_A,A,316
1fju_A,A,316
1fjv_A,A,316
1fjw_A,A,316
1fkm_A,A,314
1fkn_A,A,390
1fkn_B,B,388
1fl2_A,A,310
1fm2_B,B,508
1fmi_A,A,456
1fmj_A,A,342
1fmj_B,B,342
1fmk_A,A,437
1fmt_A,A,308
1fmt_B,B,307
1fn9_A,A,365
1fn9_B,B,365
1fnf_A,A,368
1fnn_A,A,379
1fnn_B,B,379
1fo3_A,A,455
1fo6_A,A,302
1fo6_B,B,302
1fo6_C,C,302
1fo6_D,D,302
1fo8_A,A,330
1fo9_A,A,331
1foa_A,A,342
1fob_A,A,334
1foi_A,A,416
1foi_B,B,414
1foo_A,A,416
1foo_B,B,414
1fp1_D,D,340
1fp2_A,A,345
1fp3_A,A,402
1fp3_B,B,402
1fpq_A,A,320
1fqa_A,A,370
1fqb_A,A,370
1fqe_A,A,329
1fr1_A,A,361
1fr1_B,B,361
1frb_A,A,315
1frp_A,A,321
1frp_B,B,321
1fs7_A,A,471
1fs8_A,A,471
1fs9_A,A,471
1fsw_A,A,358
1fsw_B,B,358
1fsy_A,A,358
1fsy_B,B,358
1fuo_A,A,456
1fuo_B,B,455
1fuq_A,A,456
1fuq_B,B,455
1fur_A,A,456
1fur_B,B,455
1fwa_C,C,565
1fwb_C,C,565
1fwc_C,C,565
1fwd_C,C,565
1fwe_C,C,551
1fwf_C,C,550
1fwg_C,C,565
1fwh_C,C,565
1fwi_C,C,550
1fwx_A,A,591
1fwx_B,B,589
1fwx_C,C,590
1fwx_D,D,588
1fxh_B,B,557
1fyf_A,A,401
1fyf_B,B,401
1fz1_A,A,511
1fz1_B,B,511
1fz1_C,C,388
1fz1_D,D,387
1fz7_A,A,510
1fz7_B,B,510
1fz7_C,C,388
1fz7_D,D,388
1g01_A,A,357
1g0c_A,A,358
1g0v_A,A,329
1g29_1,1,372
1g29_2,2,372
1g38_A,A,393
1g38_D,D,393
1g4m_A,A,356
1g4m_B,B,357
1g4v_A,A,396
1g55_A,A,311
1g5a_A,A,628
1g5h_A,A,399
1g5h_B,B,391
1g5h_C,C,399
1g5h_D,D,409
1g5n_A,A,318
1g6i_A,A,510
1g6s_A,A,427
1g6t_A,A,427
1g72_A,A,571
1g72_C,C,571
1g7s_A,A,576
1g7t_A,A,569
1g87_A,A,611
1g87_B,B,613
1g8f_A,A,510
1g8l_A,A,403
1g8l_B,B,403
1g8m_A,A,580
1g8m_B,B,580
1g94_A,A,448
1g97_A,A,446
1g98_A,A,555
1g98_B,B,555
1g9g_A,A,629
1g9h_A,A,448
1g9j_A,A,629
1g9k_A,A,455
1ga0_A,A,363
1ga1_A,A,370
1ga2_A,A,611
1ga2_B,B,613
1ga4_A,A,369
1ga6_A,A,369
1gad_O,O,330
1gad_P,P,330
1gah_A,A,471
1gai_A,A,472
1gc0_A,A,354
1gc0_B,B,356
1gc0_C,C,362
1gc0_D,D,355
1gc2_A,A,372
1gc2_B,B,369
1gc2_C,C,374
1gc2_D,D,369
1gca_A,A,309
1gce_A,A,362
1gcg_A,A,309
1gcy_A,A,415
1gd1_O,O,334
1gd1_P,P,334
1gd1_Q,Q,334
1gd1_R,R,334
1gd9_A,A,388
1gd9_B,B,388
1gde_A,A,388
1gde_B,B,388
1ged_A,A,399
1gei_A,A,399
1gej_A,A,399
1gek_A,A,406
1gem_A,A,405
1ger_A,A,448
1ger_B,B,449
1ges_A,A,448
1ges_B,B,449
1get_A,A,448
1get_B,B,449
1gew_A,A,333
1gg1_A,A,339
1gg1_B,B,343
1gg1_C,C,339
1gg1_D,D,340
1gg9_A,A,727
1gg9_B,B,727
1gg9_C,C,727
1gg9_D,D,727
1gge_A,A,727
1gge_B,B,727
1gge_C,C,727
1gge_D,D,727
1ggj_A,A,727
1ggj_B,B,727
1ggj_C,C,727
1ggj_D,D,727
1gia_A,A,310
1giq_A,A,411
1giq_B,B,411
1gjp_A,A,340
1gk2_A,A,509
1gk2_B,B,509
1gk2_C,C,509
1gk2_D,D,509
1gk8_A,A,464
1gk8_C,C,464
1gk8_E,E,460
1gk8_G,G,462
1gk9_B,B,557
1gkf_B,B,557
1gkj_A,A,506
1gkm_B,B,506
1gkp_A,A,457
1gkp_B,B,457
1gkp_C,C,457
1gkp_D,D,457
1gkp_E,E,457
1gkp_F,F,457
1glg_A,A,309
1gm7_B,B,557
1gm8_B,B,557
1gm9_B,B,557
1gnd_A,A,430
1gnl_A,A,543
1gnl_B,B,543
1gnt_A,A,553
1gnx_A,A,448
1gnx_B,B,448
1go8_P,P,460
1gof_A,A,639
1gog_A,A,639
1goi_A,A,497
1goi_B,B,497
1gok_A,A,302
1gom_A,A,302
1goo_A,A,301
1goq_A,A,302
1gor_A,A,302
1got_A,A,326
1got_B,B,339
1gp6_A,A,350
1gpe_A,A,587
1gpe_B,B,587
1gpf_A,A,497
1gpf_B,B,497
1gpi_A,A,430
1gpj_A,A,399
1gpu_A,A,678
1gpu_B,B,678
1gq1_A,A,559
1gq1_B,B,559
1gq6_B,B,301
1gq8_A,A,318
1gqe_A,A,354
1gqg_A,A,333
1gqg_B,B,334
1gqg_C,C,337
1gqg_D,D,333
1gqi_A,A,708
1gqi_B,B,708
1gqj_A,A,708
1gqj_B,B,708
1gqk_A,A,708
1gqk_B,B,708
1gql_A,A,701
1gql_B,B,700
1gqy_A,A,468
1gqy_B,B,469
1gr0_A,A,328
1gra_A,A,461
1grb_A,A,461
1gre_A,A,461
1grf_A,A,461
1grg_A,A,460
1gs7_A,A,336
1gs8_A,A,336
1gsa_A,A,314
1gsk_A,A,502
1gsn_A,A,457
1gso_A,A,419
1gt9_1,1,357
1gt9_2,2,357
1gtj_1,1,357
1gtj_2,2,357
1gtt_A,A,421
1gtt_B,B,421
1gtt_C,C,421
1gtt_D,D,421
1gu7_A,A,364
1gu7_B,B,364
1gup_A,A,347
1gup_B,B,344
1gup_C,C,344
1gup_D,D,344
1guq_A,A,347
1guq_B,B,344
1guq_C,C,344
1guq_D,D,344
1guz_A,A,306
1guz_C,C,306
1gv4_A,A,490
1gv4_B,B,490
1gve_A,A,324
1gve_B,B,301
1gvg_A,A,315
1gvo_A,A,362
1gvq_A,A,362
1gvr_A,A,364
1gvs_A,A,362
1gvt_A,A,328
1gvu_A,A,328
1gvv_A,A,328
1gvw_A,A,328
1gvx_A,A,328
1gvy_A,A,376
1gw1_A,A,375
1gw9_A,A,385
1gwe_A,A,498
1gwf_A,A,493
1gwh_A,A,498
1gwi_A,A,403
1gwi_B,B,401
1gwt_A,A,308
1gwu_A,A,307
1gx5_A,A,519
1gx6_A,A,519
1gxm_A,A,324
1gxm_B,B,332
1gxn_A,A,323
1gxr_A,A,335
1gxr_B,B,324
1gy8_A,A,367
1gy8_B,B,366
1gy8_C,C,370
1gy8_D,D,364
1gyc_A,A,499
1gyg_A,A,370
1gyg_B,B,370
1gyh_A,A,318
1gyh_B,B,317
1gyh_C,C,318
1gyh_D,D,316
1gyh_E,E,318
1gyh_F,F,316
1gyn_A,A,333
1gz1_A,A,362
1gz7_A,A,534
1gz7_B,B,534
1gz7_C,C,534
1gz7_D,D,534
1gzb_A,A,336
1gzg_A,A,329
1gzg_B,B,323
1gzj_A,A,304
1gzj_B,B,304
1h0g_A,A,497
1h0g_B,B,497
1h0i_A,A,497
1h0i_B,B,497
1h11_A,A,300
1h12_A,A,404
1h13_A,A,404
1h14_A,A,404
1h16_A,A,759
1h17_A,A,759
