set,family,cell,protein_id,L,co_before,co_after_driver,co_after_randctrl,charge_before,charge_after,charge_retained,n_drivers,n_buried_reverted,recovered_driver,recovered_randctrl,stayed_designable
camsol_max,polarize,camsol_max_w64,s52_n300,300,1.5269,19.1907,12.8625,-10,-18,1.800,190,88,0,0,0
camsol_max,polarize,camsol_max_w64,s52_n400,400,1.2302,45.5502,23.6906,-25,-30,1.200,273,133,0,0,0
camsol_max,polarize,camsol_max_w64,s52_n500,500,11.3482,30.9146,10.0108,8,-34,-4.250,366,184,0,0,0
camsol_max,polarize,camsol_max_w64,s53_n300,300,2.9105,19.2732,3.8658,-47,-57,1.213,189,73,0,0,0
camsol_max,polarize,camsol_max_w64,s53_n400,400,19.8205,24.4971,21.9896,26,7,0.269,294,139,0,0,0
camsol_max,polarize,camsol_max_w64,s53_n500,500,3.5342,15.1505,15.1966,-23,-20,0.870,375,165,0,0,0
camsol_max,polarize,camsol_max_w64,s54_n300,300,24.6695,15.2674,21.9101,-3,-4,1.333,230,118,0,0,0
camsol_max,polarize,camsol_max_w64,s54_n400,400,6.9897,19.5445,7.8655,-17,-20,1.176,267,108,0,0,0
camsol_max,polarize,camsol_max_w64,s54_n500,500,17.9148,23.0405,22.2971,-4,-12,3.000,389,177,0,0,0
camsol_max,polarize,camsol_max_w64,s55_n300,300,1.2734,20.5706,2.7781,-10,-9,0.900,175,65,0,0,0
camsol_max,polarize,camsol_max_w64,s55_n400,400,2.0208,25.3113,5.1759,9,-1,-0.111,267,105,0,0,0
camsol_max,polarize,camsol_max_w64,s55_n500,500,11.2373,25.7147,24.4737,-50,-43,0.860,357,170,0,0,0
camsol_max,polarize,camsol_max_w64,s56_n300,300,31.1536,21.8426,22.1829,-29,-29,1.000,234,109,0,0,0
camsol_max,polarize,camsol_max_w64,s56_n400,400,13.1338,23.1830,18.8913,-2,-10,5.000,288,144,0,0,0
camsol_max,polarize,camsol_max_w64,s56_n500,500,12.6105,24.8784,21.9997,-30,-59,1.967,364,153,0,0,0
camsol_max,polarize,camsol_max_w64,s57_n300,300,25.8607,17.7551,18.0644,-8,-7,0.875,230,102,0,0,0
camsol_max,polarize,camsol_max_w64,s57_n400,400,15.1471,25.3976,16.1362,-6,-4,0.667,276,112,0,0,0
camsol_max,polarize,camsol_max_w64,s57_n500,500,19.1707,29.0905,24.9205,107,80,0.748,377,170,0,0,0
camsol_max,polarize,camsol_max_w128,s42_n300,300,5.2859,20.5896,17.8322,3,4,1.333,202,88,0,0,0
camsol_max,polarize,camsol_max_w128,s42_n400,400,38.2618,30.9168,25.5282,-18,-28,1.556,318,149,0,0,0
camsol_max,polarize,camsol_max_w128,s42_n500,500,9.6006,29.8370,25.6387,4,-8,-2.000,379,182,0,0,0
camsol_max,polarize,camsol_max_w128,s43_n300,300,4.7930,19.4826,6.7474,-10,0,-0.000,214,92,0,0,0
camsol_max,polarize,camsol_max_w128,s43_n400,400,27.1422,27.9820,27.5984,-8,-8,1.000,314,132,0,0,0
camsol_max,polarize,camsol_max_w128,s43_n500,500,24.0389,25.7006,17.8620,-12,-16,1.333,357,159,0,0,0
camsol_max,polarize,camsol_max_w128,s44_n300,300,29.3690,26.8595,21.9536,-12,-23,1.917,253,128,0,0,0
camsol_max,polarize,camsol_max_w128,s44_n400,400,21.5185,24.1241,24.0014,1,14,14.000,327,150,0,0,0
camsol_max,polarize,camsol_max_w128,s44_n500,500,2.9824,21.8848,23.4758,12,13,1.083,409,209,0,0,0
camsol_max,polarize,camsol_max_w128,s45_n300,300,22.0717,21.7598,20.3769,-12,-5,0.417,229,95,0,0,0
camsol_max,polarize,camsol_max_w128,s45_n400,400,11.4776,23.6338,20.7372,-10,-21,2.100,307,137,0,0,0
camsol_max,polarize,camsol_max_w128,s45_n500,500,13.6757,30.6099,20.9159,14,-21,-1.500,391,173,0,0,0
camsol_max,polarize,camsol_max_w128,s46_n300,300,2.1154,18.5702,18.2724,-36,-49,1.361,186,75,0,0,0
camsol_max,polarize,camsol_max_w128,s46_n400,400,23.7728,23.2858,25.1533,7,20,2.857,314,142,0,0,0
camsol_max,polarize,camsol_max_w128,s46_n500,500,6.5161,23.4739,14.3685,-7,-27,3.857,351,170,0,0,0
camsol_max,polarize,camsol_max_w128,s47_n300,300,1.5344,17.4383,17.0046,-12,-9,0.750,201,74,0,0,0
camsol_max,polarize,camsol_max_w128,s47_n400,400,6.7997,26.1968,22.0917,-14,-3,0.214,291,137,0,0,0
camsol_max,polarize,camsol_max_w128,s47_n500,500,24.0811,25.7251,27.0686,-57,-38,0.667,408,210,0,0,0
camsol_max,polarize,camsol_max_w128,s48_n300,300,28.8773,24.2482,24.0819,-18,-22,1.222,230,111,0,0,0
camsol_max,polarize,camsol_max_w128,s48_n400,400,39.9477,25.4526,26.2439,-33,-42,1.273,297,143,0,0,0
camsol_max,polarize,camsol_max_w128,s48_n500,500,31.1594,28.5091,27.5647,48,50,1.042,420,209,0,0,0
camsol_max,polarize,camsol_max_w128,s49_n300,300,23.7297,19.8682,20.3035,-4,5,-1.250,243,124,0,0,0
camsol_max,polarize,camsol_max_w128,s49_n400,400,3.8149,22.7715,23.8484,-6,0,-0.000,255,114,0,0,0
camsol_max,polarize,camsol_max_w128,s49_n500,500,41.0852,26.9345,29.4426,-26,-10,0.385,411,192,0,0,0
camsol_max,polarize,camsol_max_w128,s50_n300,300,3.3246,21.5016,20.9872,-10,-9,0.900,201,92,0,0,0
camsol_max,polarize,camsol_max_w128,s50_n400,400,11.1577,24.9803,23.4114,-28,-35,1.250,300,153,0,0,0
camsol_max,polarize,camsol_max_w128,s50_n500,500,31.7335,25.9374,21.3271,-70,-32,0.457,370,203,0,0,0
camsol_max,polarize,camsol_max_w128,s51_n300,300,3.9436,19.9093,18.3024,-8,2,-0.250,210,94,0,0,0
camsol_max,polarize,camsol_max_w128,s51_n400,400,46.9670,22.9918,19.2517,4,-4,-1.000,327,153,0,0,0
camsol_max,polarize,camsol_max_w128,s51_n500,500,11.0761,25.2458,24.8134,19,-4,-0.211,383,191,0,0,0
camsol_max,polarize,camsol_max_w128,s52_n300,300,5.1974,18.7750,19.7565,-11,-17,1.545,204,96,0,0,0
camsol_max,polarize,camsol_max_w128,s52_n400,400,19.2410,36.8391,27.4075,-13,-28,2.154,309,167,0,0,0
camsol_max,polarize,camsol_max_w128,s52_n500,500,22.5753,29.9653,28.5325,10,-28,-2.800,410,230,0,0,0
camsol_max,polarize,camsol_max_w128,s53_n300,300,3.6541,20.9620,21.4331,-41,-48,1.171,192,71,0,0,0
camsol_max,polarize,camsol_max_w128,s53_n400,400,40.3085,26.8820,24.4319,0,-6,nan,338,174,0,0,0
camsol_max,polarize,camsol_max_w128,s53_n500,500,7.9571,20.7333,20.1231,-4,-10,2.500,417,206,0,0,0
camsol_max,polarize,camsol_max_w128,s54_n300,300,36.1849,17.4398,19.8515,-5,-2,0.400,248,108,0,0,0
camsol_max,polarize,camsol_max_w128,s54_n400,400,13.4995,19.9563,10.8798,-14,-24,1.714,294,126,0,0,0
camsol_max,polarize,camsol_max_w128,s54_n500,500,30.3770,26.6662,26.2671,-3,-17,5.667,440,217,0,0,0
camsol_max,polarize,camsol_max_w128,s55_n300,300,2.9077,24.1273,23.3175,-9,-9,1.000,188,80,0,0,0
camsol_max,polarize,camsol_max_w128,s55_n400,400,8.2065,24.8625,26.7544,10,6,0.600,308,134,0,0,0
camsol_max,polarize,camsol_max_w128,s55_n500,500,32.5547,29.9208,32.5464,-40,-33,0.825,387,190,0,0,0
camsol_max,polarize,camsol_max_w128,s56_n300,300,36.5729,21.6094,21.5147,-54,-32,0.593,259,131,0,0,0
camsol_max,polarize,camsol_max_w128,s56_n400,400,29.5689,21.5971,20.9429,-25,-4,0.160,321,159,0,0,0
camsol_max,polarize,camsol_max_w128,s56_n500,500,17.6244,28.0770,27.7082,-38,-61,1.605,387,172,0,0,0
camsol_max,polarize,camsol_max_w128,s57_n300,300,31.7150,22.2718,18.9584,-14,-12,0.857,241,112,0,0,0
camsol_max,polarize,camsol_max_w128,s57_n400,400,14.6599,31.6482,26.3445,-5,-8,1.600,295,130,0,0,0
camsol_max,polarize,camsol_max_w128,s57_n500,500,39.1194,26.6993,22.7145,103,85,0.825,433,210,0,0,0
hydpatch_min,polarize,hydpatch_min_w64,s42_n300,300,2.7275,24.1481,23.7689,-18,-13,0.722,197,85,0,0,0
hydpatch_min,polarize,hydpatch_min_w64,s42_n400,400,2.1915,35.8665,24.1823,-12,-18,1.500,263,119,0,0,0
hydpatch_min,polarize,hydpatch_min_w64,s42_n500,500,10.5528,28.5617,22.3890,-2,-2,1.000,343,169,0,0,0
hydpatch_min,polarize,hydpatch_min_w64,s43_n300,300,1.7680,17.9394,2.6879,-21,-17,0.810,207,87,0,0,0
hydpatch_min,polarize,hydpatch_min_w64,s43_n400,400,1.4196,18.8058,8.6088,-1,-9,9.000,248,82,0,0,0
hydpatch_min,polarize,hydpatch_min_w64,s43_n500,500,3.1564,24.8474,16.8718,-7,-6,0.857,333,139,0,0,0
hydpatch_min,polarize,hydpatch_min_w64,s44_n300,300,12.1993,25.8377,21.5658,20,7,0.350,197,79,0,0,0
hydpatch_min,polarize,hydpatch_min_w64,s44_n400,400,2.9396,24.2005,20.4029,-12,4,-0.333,296,125,0,0,0
hydpatch_min,polarize,hydpatch_min_w64,s44_n500,500,1.7775,23.6074,19.3727,0,0,nan,355,165,0,0,0
hydpatch_min,polarize,hydpatch_min_w64,s45_n300,300,1.9905,19.8853,5.2053,-14,-13,0.929,188,66,0,0,0
hydpatch_min,polarize,hydpatch_min_w64,s45_n400,400,1.1715,21.9144,4.7668,-24,-27,1.125,292,122,0,0,0
hydpatch_min,polarize,hydpatch_min_w64,s45_n500,500,21.0644,38.8524,34.4636,-22,-31,1.409,316,125,0,0,0
hydpatch_min,polarize,hydpatch_min_w64,s46_n300,300,1.0274,16.5665,4.0342,-32,-37,1.156,205,90,0,0,0
hydpatch_min,polarize,hydpatch_min_w64,s46_n400,400,3.7992,17.7942,4.1540,-20,-8,0.400,236,85,0,0,0
hydpatch_min,polarize,hydpatch_min_w64,s46_n500,500,16.4645,29.0933,14.4701,-8,-23,2.875,351,161,0,0,0
hydpatch_min,polarize,hydpatch_min_w64,s47_n300,300,1.6577,19.3852,19.7800,-36,-32,0.889,207,88,0,0,0
hydpatch_min,polarize,hydpatch_min_w64,s47_n400,400,2.8713,24.7490,20.2568,-38,-17,0.447,290,141,0,0,0
hydpatch_min,polarize,hydpatch_min_w64,s47_n500,500,4.0677,25.2145,20.4664,16,7,0.438,340,155,0,0,0
hydpatch_min,polarize,hydpatch_min_w64,s48_n300,300,6.6220,21.0242,21.2136,-26,-24,0.923,200,88,0,0,0
hydpatch_min,polarize,hydpatch_min_w64,s48_n400,400,11.2673,26.2283,26.4569,-26,-24,0.923,256,120,0,0,0
hydpatch_min,polarize,hydpatch_min_w64,s48_n500,500,15.4121,26.5020,22.9613,26,22,0.846,321,144,0,0,0
hydpatch_min,polarize,hydpatch_min_w64,s49_n300,300,1.6802,18.7235,2.7275,3,4,1.333,200,83,0,0,0
hydpatch_min,polarize,hydpatch_min_w64,s49_n400,400,2.9457,24.5618,12.2092,-17,-10,0.588,236,115,0,0,0
hydpatch_min,polarize,hydpatch_min_w64,s49_n500,500,0.7774,24.0216,23.5166,9,9,1.000,305,108,0,0,0
hydpatch_min,polarize,hydpatch_min_w64,s50_n300,300,2.4132,21.2788,3.9414,-14,-14,1.000,197,83,0,0,0
hydpatch_min,polarize,hydpatch_min_w64,s50_n400,400,9.2317,20.8252,17.9549,-36,-39,1.083,292,134,0,0,0
hydpatch_min,polarize,hydpatch_min_w64,s50_n500,500,25.2487,24.2885,26.7657,2,2,1.000,301,193,0,0,0
hydpatch_min,polarize,hydpatch_min_w64,s51_n300,300,1.1956,22.9896,3.2918,-20,-13,0.650,200,82,0,0,0
hydpatch_min,polarize,hydpatch_min_w64,s51_n400,400,18.5854,23.7084,19.8772,7,1,0.143,261,101,0,0,0
hydpatch_min,polarize,hydpatch_min_w64,s51_n500,500,5.8158,23.4729,22.6678,-26,-26,1.000,329,145,0,0,0
hydpatch_min,polarize,hydpatch_min_w64,s52_n300,300,0.9668,20.0692,9.6096,-25,-24,0.960,191,87,0,0,0
hydpatch_min,polarize,hydpatch_min_w64,s52_n400,400,1.1070,55.6351,21.7092,-18,-22,1.222,257,126,0,0,0
hydpatch_min,polarize,hydpatch_min_w64,s52_n500,500,12.0121,25.6084,11.4994,-8,-26,3.250,348,181,0,0,0
hydpatch_min,polarize,hydpatch_min_w64,s53_n300,300,1.8460,18.4001,21.3101,-36,-37,1.028,222,96,0,0,0
hydpatch_min,polarize,hydpatch_min_w64,s53_n400,400,1.7130,22.3441,5.2358,22,8,0.364,244,74,0,0,0
hydpatch_min,polarize,hydpatch_min_w64,s53_n500,500,2.9386,13.6766,10.1907,13,8,0.615,356,150,0,0,0
hydpatch_min,polarize,hydpatch_min_w64,s54_n300,300,0.8441,20.3987,7.7397,10,6,0.600,187,69,0,0,0
hydpatch_min,polarize,hydpatch_min_w64,s54_n400,400,4.8601,17.4314,8.9818,-26,-28,1.077,254,95,0,0,0
hydpatch_min,polarize,hydpatch_min_w64,s54_n500,500,23.9434,23.4857,20.7559,0,-2,nan,372,170,0,0,0
hydpatch_min,polarize,hydpatch_min_w64,s55_n300,300,2.3620,22.5270,20.7176,-25,-23,0.920,203,86,0,0,0
hydpatch_min,polarize,hydpatch_min_w64,s55_n400,400,1.9275,23.8247,3.4019,-16,-13,0.812,250,101,0,0,0
hydpatch_min,polarize,hydpatch_min_w64,s55_n500,500,6.9971,25.3513,24.7753,-18,-16,0.889,329,151,0,0,0
hydpatch_min,polarize,hydpatch_min_w64,s56_n300,300,15.7713,23.2401,23.4594,-12,-20,1.667,194,76,0,0,0
hydpatch_min,polarize,hydpatch_min_w64,s56_n400,400,7.0896,21.1715,17.3670,-1,7,-7.000,272,132,0,0,0
hydpatch_min,polarize,hydpatch_min_w64,s56_n500,500,14.5654,27.7929,12.0297,-27,-29,1.074,346,137,0,0,0
hydpatch_min,polarize,hydpatch_min_w64,s57_n300,300,1.3907,17.5240,8.7041,0,1,nan,198,72,0,0,0
hydpatch_min,polarize,hydpatch_min_w64,s57_n400,400,11.3643,25.3082,6.5898,4,11,2.750,271,105,0,0,0
hydpatch_min,polarize,hydpatch_min_w64,s57_n500,500,25.8491,24.0058,23.6086,31,23,0.742,328,136,0,0,0
hydpatch_min,polarize,hydpatch_min_w128,s42_n300,300,25.8437,24.0023,24.4520,-27,-22,0.815,242,118,0,0,0
hydpatch_min,polarize,hydpatch_min_w128,s42_n400,400,15.8700,31.9378,20.4603,3,-5,-1.667,283,133,0,0,0
hydpatch_min,polarize,hydpatch_min_w128,s42_n500,500,11.9092,27.8169,22.5812,4,-1,-0.250,373,188,0,0,0
hydpatch_min,polarize,hydpatch_min_w128,s43_n300,300,28.4755,19.8486,22.0221,-34,-22,0.647,242,115,0,0,0
hydpatch_min,polarize,hydpatch_min_w128,s43_n400,400,10.3325,23.7874,15.7028,9,0,0.000,270,99,0,0,0
hydpatch_min,polarize,hydpatch_min_w128,s43_n500,500,15.3343,23.2951,16.9230,-16,-12,0.750,377,178,0,0,0
hydpatch_min,polarize,hydpatch_min_w128,s44_n300,300,23.3224,22.0862,22.5366,22,14,0.636,214,93,0,0,0
hydpatch_min,polarize,hydpatch_min_w128,s44_n400,400,6.6114,23.0536,21.9983,-26,0,-0.000,325,149,0,0,0
hydpatch_min,polarize,hydpatch_min_w128,s44_n500,500,2.8224,24.4932,26.2915,-6,3,-0.500,397,199,0,0,0
hydpatch_min,polarize,hydpatch_min_w128,s45_n300,300,5.1228,20.1538,6.4773,7,5,0.714,196,72,0,0,0
hydpatch_min,polarize,hydpatch_min_w128,s45_n400,400,4.0455,23.5319,12.2084,-25,-21,0.840,305,134,0,0,0
hydpatch_min,polarize,hydpatch_min_w128,s45_n500,500,21.1467,34.8561,33.0266,-4,-10,2.500,338,142,0,0,0
hydpatch_min,polarize,hydpatch_min_w128,s46_n300,300,34.9618,17.2940,18.5496,-43,-37,0.860,238,120,0,0,0
hydpatch_min,polarize,hydpatch_min_w128,s46_n400,400,18.0594,19.0322,16.9533,-27,-13,0.481,316,153,0,0,0
hydpatch_min,polarize,hydpatch_min_w128,s46_n500,500,16.5209,28.8604,22.8456,-14,-11,0.786,366,169,0,0,0
hydpatch_min,polarize,hydpatch_min_w128,s47_n300,300,24.2573,17.0494,16.9657,-38,-29,0.763,239,121,0,0,0
hydpatch_min,polarize,hydpatch_min_w128,s47_n400,400,5.6624,21.0251,18.6471,-35,-18,0.514,302,147,0,0,0
hydpatch_min,polarize,hydpatch_min_w128,s47_n500,500,11.6891,26.5361,25.7792,18,10,0.556,383,190,0,0,0
hydpatch_min,polarize,hydpatch_min_w128,s48_n300,300,22.0697,22.5939,21.3463,-9,-10,1.111,209,95,0,0,0
hydpatch_min,polarize,hydpatch_min_w128,s48_n400,400,23.8698,25.9268,24.1205,4,0,0.000,268,133,0,0,0
hydpatch_min,polarize,hydpatch_min_w128,s48_n500,500,11.7113,25.9761,21.9157,34,30,0.882,355,173,0,0,0
hydpatch_min,polarize,hydpatch_min_w128,s49_n300,300,1.8511,16.2384,19.0415,-2,3,-1.500,228,105,0,0,0
hydpatch_min,polarize,hydpatch_min_w128,s49_n400,400,3.0172,22.9431,22.9748,-27,-18,0.667,276,129,0,0,0
hydpatch_min,polarize,hydpatch_min_w128,s49_n500,500,27.0234,25.0641,25.2672,19,11,0.579,360,156,0,0,0
hydpatch_min,polarize,hydpatch_min_w128,s50_n300,300,21.4423,21.4784,19.1121,-29,-21,0.724,250,129,0,0,0
hydpatch_min,polarize,hydpatch_min_w128,s50_n400,400,14.4334,20.9784,22.0914,-33,-29,0.879,308,146,0,0,0
hydpatch_min,polarize,hydpatch_min_w128,s50_n500,500,42.7104,24.5226,22.1523,7,0,0.000,357,199,0,0,0
hydpatch_min,polarize,hydpatch_min_w128,s51_n300,300,22.9064,21.2443,21.4709,-35,-28,0.800,233,108,0,0,0
hydpatch_min,polarize,hydpatch_min_w128,s51_n400,400,26.5809,18.5316,20.9927,9,2,0.222,277,114,0,0,0
hydpatch_min,polarize,hydpatch_min_w128,s51_n500,500,5.3759,20.3246,24.9980,-26,-28,1.077,350,163,0,0,0
hydpatch_min,polarize,hydpatch_min_w128,s52_n300,300,1.7066,17.9259,19.2824,-35,-29,0.829,218,113,0,0,0
hydpatch_min,polarize,hydpatch_min_w128,s52_n400,400,0.9578,43.9164,20.1822,-6,-8,1.333,272,120,0,0,0
hydpatch_min,polarize,hydpatch_min_w128,s52_n500,500,21.8705,35.9863,26.0747,30,9,0.300,385,222,0,0,0
hydpatch_min,polarize,hydpatch_min_w128,s53_n300,300,22.9923,20.1845,20.8672,-40,-35,0.875,245,114,0,0,0
hydpatch_min,polarize,hydpatch_min_w128,s53_n400,400,22.5794,23.6032,20.9592,25,12,0.480,265,112,0,0,0
hydpatch_min,polarize,hydpatch_min_w128,s53_n500,500,8.4707,24.4835,20.2445,13,7,0.538,424,209,0,0,0
hydpatch_min,polarize,hydpatch_min_w128,s54_n300,300,2.6339,15.5277,19.3697,24,18,0.750,202,80,0,0,0
hydpatch_min,polarize,hydpatch_min_w128,s54_n400,400,9.5509,21.2126,16.6157,-21,-24,1.143,275,121,0,0,0
hydpatch_min,polarize,hydpatch_min_w128,s54_n500,500,24.3867,29.7272,26.2845,-3,-7,2.333,422,211,0,0,0
hydpatch_min,polarize,hydpatch_min_w128,s55_n300,300,2.0158,24.5898,23.4971,-28,-23,0.821,224,106,0,0,0
hydpatch_min,polarize,hydpatch_min_w128,s55_n400,400,2.7941,28.9218,23.9505,5,6,1.200,275,132,0,0,0
hydpatch_min,polarize,hydpatch_min_w128,s55_n500,500,18.6655,28.6044,29.7571,13,6,0.462,361,178,0,0,0
hydpatch_min,polarize,hydpatch_min_w128,s56_n300,300,27.0328,21.9264,24.5461,14,6,0.429,217,102,0,0,0
hydpatch_min,polarize,hydpatch_min_w128,s56_n400,400,14.0719,21.5622,20.1525,5,5,1.000,293,146,0,0,0
hydpatch_min,polarize,hydpatch_min_w128,s56_n500,500,15.8505,24.1888,14.7301,-9,-11,1.222,358,155,0,0,0
hydpatch_min,polarize,hydpatch_min_w128,s57_n300,300,13.6074,20.6452,25.1994,14,12,0.857,202,79,0,0,0
hydpatch_min,polarize,hydpatch_min_w128,s57_n400,400,17.4801,24.5626,27.2234,-25,-12,0.480,309,139,0,0,0
hydpatch_min,polarize,hydpatch_min_w128,s57_n500,500,23.5722,23.3062,21.6987,27,22,0.815,373,169,0,0,0
net_charge_max,charge+,net_charge_max_w128,s42_n300,300,1.7365,4.7021,nan,67,49,0.731,70,18,0,0,0
net_charge_max,charge+,net_charge_max_w128,s42_n400,400,26.5699,15.7219,nan,96,51,0.531,109,45,0,0,0
net_charge_max,charge+,net_charge_max_w128,s42_n500,500,13.1643,8.1311,nan,167,116,0.695,167,51,0,0,0
net_charge_max,charge+,net_charge_max_w128,s43_n300,300,2.0719,2.2334,nan,60,43,0.717,62,17,0,0,0
net_charge_max,charge+,net_charge_max_w128,s43_n400,400,7.3998,6.9198,nan,144,91,0.632,151,53,0,0,0
net_charge_max,charge+,net_charge_max_w128,s43_n500,500,13.0794,14.0097,nan,142,83,0.585,150,59,0,0,0
net_charge_max,charge+,net_charge_max_w128,s44_n300,300,24.3113,21.3707,nan,88,52,0.591,89,36,0,0,0
net_charge_max,charge+,net_charge_max_w128,s44_n400,400,2.8054,4.0000,nan,38,17,0.447,45,21,0,0,0
net_charge_max,charge+,net_charge_max_w128,s44_n500,500,2.7681,4.7204,nan,123,82,0.667,132,41,0,0,0
net_charge_max,charge+,net_charge_max_w128,s45_n300,300,15.0697,5.9645,nan,111,82,0.739,113,29,0,0,0
net_charge_max,charge+,net_charge_max_w128,s45_n400,400,7.8921,3.1999,nan,141,88,0.624,146,53,0,0,0
net_charge_max,charge+,net_charge_max_w128,s45_n500,500,15.0284,15.9058,nan,126,83,0.659,134,43,0,0,0
net_charge_max,charge+,net_charge_max_w128,s46_n300,300,3.3901,3.2570,nan,77,50,0.649,78,27,0,0,0
net_charge_max,charge+,net_charge_max_w128,s46_n400,400,6.3073,4.7180,nan,55,19,0.345,67,36,0,0,0
net_charge_max,charge+,net_charge_max_w128,s46_n500,500,18.3984,17.2704,nan,88,43,0.489,91,45,0,0,0
net_charge_max,charge+,net_charge_max_w128,s47_n300,300,3.4151,2.1742,nan,83,59,0.711,86,24,0,0,0
net_charge_max,charge+,net_charge_max_w128,s47_n400,400,2.8284,14.2938,nan,158,97,0.614,161,61,0,0,0
net_charge_max,charge+,net_charge_max_w128,s47_n500,500,6.6536,7.0931,nan,35,12,0.343,41,23,0,0,0
net_charge_max,charge+,net_charge_max_w128,s48_n300,300,26.7165,25.5712,nan,120,81,0.675,121,39,0,0,0
net_charge_max,charge+,net_charge_max_w128,s48_n400,400,28.7198,25.4871,nan,117,66,0.564,126,51,0,0,0
net_charge_max,charge+,net_charge_max_w128,s48_n500,500,13.9647,22.3967,nan,161,113,0.702,161,48,0,0,0
net_charge_max,charge+,net_charge_max_w128,s49_n300,300,1.9461,1.7179,nan,49,16,0.327,49,33,0,0,1
net_charge_max,charge+,net_charge_max_w128,s49_n400,400,4.7549,4.9273,nan,71,48,0.676,74,23,0,0,0
net_charge_max,charge+,net_charge_max_w128,s49_n500,500,32.0705,27.0084,nan,170,130,0.765,173,40,0,0,0
net_charge_max,charge+,net_charge_max_w128,s50_n300,300,4.6592,3.8247,nan,52,33,0.635,55,19,0,0,0
net_charge_max,charge+,net_charge_max_w128,s50_n400,400,9.3684,10.5363,nan,73,35,0.479,81,38,0,0,0
net_charge_max,charge+,net_charge_max_w128,s50_n500,500,25.2401,24.8978,nan,22,18,0.818,22,4,0,0,0
