id,length,aliphatic_index,ivywrel_fraction,gravy,charged_fraction,log_acidic_basic_ratio,aromatic_fraction,t40_binary,t40_raw,t45_binary,t45_raw,t50_binary,t50_raw,t55_binary,t55_raw,t60_binary,t60_raw,t65_binary,t65_raw,t70_binary,t70_raw,t75_binary,t75_raw,t80_binary,t80_raw
s1029_n783,783,62.0051085568327,0.26053639846743293,-0.821455938697318,0.3243933588761175,0.23638716094293222,0.07535121328224777,0,0.2298,0,0.1757,0,0.1135,0,0.2051,0,0.08032,0,0.05421,0,0.01872,0,0.03521,0,0.005658
s1030_n305,305,82.81967213114753,0.34098360655737703,-0.7934426229508195,0.2360655737704918,0.0705810742857072,0.0819672131147541,0,0.1489,0,0.1484,0,0.1429,0,0.1173,0,0.08769,0,0.1705,0,0.1145,0,0.1709,0,0.0291
s1031_n364,364,108.84615384615384,0.5576923076923077,-0.29313186813186803,0.30494505494505497,0.14744607760615122,0.038461538461538464,1,0.9993,1,0.9992,1,0.9997,1,0.9959,1,0.9989,1,0.9956,1,0.983,0,0.004021,0,0.001267
s1032_n421,421,96.6270783847981,0.5843230403800476,-0.6672209026128265,0.3681710213776722,0.3825651471050834,0.035629453681710214,1,0.9991,1,0.9979,1,0.9966,1,0.9948,1,0.9965,1,0.9972,1,0.9896,1,0.8488,1,0.7124
s1033_n460,460,60.0,0.13913043478260867,0.28152173913043466,0.02826086956521739,-0.05799194697768681,0.10217391304347827,1,0.6928,1,0.6365,0,0.1951,0,0.3906,0,0.2452,0,0.0686,0,0.008124,0,0.004554,0,3.758e-05
s1034_n545,545,108.91743119266056,0.46238532110091746,-0.5893577981651377,0.28807339449541286,0.060187205983316554,0.06788990825688074,1,0.9985,1,0.9966,1,0.9869,1,0.9881,1,0.9788,1,0.9905,1,0.9614,1,0.9723,1,0.9553
s1035_n581,581,102.56454388984511,0.5370051635111875,-0.7065404475043029,0.34939759036144574,0.10645533091428679,0.12048192771084337,1,0.9989,1,0.9982,1,0.9966,1,0.9963,1,0.9923,1,0.9972,1,0.989,1,0.9782,1,0.9829
s1036_n642,642,92.53894080996884,0.2507788161993769,-0.020093457943925308,0.015576323987538939,-0.146128035678238,0.017133956386292833,1,0.8198,1,0.6805,0,0.2733,1,0.5048,0,0.2108,1,0.5448,0,0.1366,0,0.212,0,0.005208
s1037_n682,682,113.65102639296185,0.42961876832844575,-0.5854838709677417,0.187683284457478,0.0,0.07478005865102638,1,0.9253,1,0.8215,1,0.7514,1,0.9413,1,0.5926,1,0.9627,0,0.08252,0,0.1769,0,0.373
s1038_n718,718,112.57660167130919,0.456824512534819,-0.5824512534818943,0.2395543175487465,0.04997397496183854,0.06406685236768803,1,0.995,1,0.9905,1,0.9468,1,0.9874,1,0.9785,1,0.993,1,0.9226,1,0.9382,1,0.9608
s1039_n794,794,94.76070528967253,0.4949622166246851,-0.7172544080604537,0.3299748110831234,0.2573210677785753,0.07556675062972293,1,0.694,1,0.6789,1,0.6713,1,0.7597,1,0.7587,1,0.9494,1,0.9404,1,0.9746,1,0.89
s1040_n323,323,95.17027863777089,0.40557275541795657,-0.0030959752321982337,0.21981424148606812,0.1810546785872315,0.02476780185758514,1,0.9041,1,0.8693,1,0.7629,1,0.6195,0,0.3546,0,0.3132,0,0.04748,0,0.001015,0,0.001717
s1041_n398,398,93.06532663316582,0.47738693467336685,-0.7007537688442212,0.3592964824120603,0.22664763249812508,0.07788944723618091,1,0.9962,1,0.9923,1,0.9913,1,0.9915,1,0.9332,1,0.9779,1,0.8435,1,0.8876,1,0.8712
s1042_n440,440,89.04545454545453,0.5340909090909091,-0.6952272727272726,0.39090909090909093,0.6639743436307891,0.038636363636363635,1,0.9999,1,0.9993,1,0.9996,1,0.9972,1,0.9995,1,0.9995,1,0.9911,1,0.7256,0,0.2847
s1043_n457,457,74.46389496717725,0.3304157549234136,-1.2529540481400436,0.13785557986870897,0.2615214543803076,0.048140043763676144,1,0.732,1,0.6618,0,0.4823,1,0.5692,0,0.4317,1,0.6973,0,0.05522,0,0.2077,0,0.0407
s1044_n534,534,89.250936329588,0.5262172284644195,-0.593071161048689,0.3389513108614232,0.08092190762392613,0.05056179775280899,1,0.9999,1,0.9999,1,0.9999,1,0.9962,1,0.9986,1,0.9985,1,0.9762,0,0.008636,0,0.02155
s1045_n584,584,107.5,0.5462328767123288,-0.5039383561643835,0.375,-0.09072463607719831,0.003424657534246575,1,0.9995,1,0.9997,1,0.9998,1,0.9931,1,0.9967,1,0.9987,1,0.8807,0,0.0004141,0,9.368e-05
s1046_n640,640,96.046875,0.3421875,0.28859375,0.1609375,0.282546589969968,0.0375,0,0.3504,1,0.5391,0,0.4552,0,0.4247,0,0.06402,0,0.01124,0,0.02964,0,0.002131,0,8.669e-05
s1047_n672,672,93.80952380952381,0.5148809523809523,-0.5148809523809522,0.3303571428571428,0.18094376185009337,0.07142857142857142,1,0.9997,1,0.9994,1,0.9979,1,0.9971,1,0.9982,1,0.9975,1,0.995,1,0.9969,1,0.9546
s1048_n717,717,108.63319386331938,0.41283124128312415,-0.5370990237099025,0.1701534170153417,0.4053219622946373,0.03905160390516039,1,0.7672,1,0.7351,1,0.7012,0,0.4876,0,0.262,0,0.09637,0,0.07419,0,0.01672,0,5.551e-05
s1049_n750,750,79.36,0.62,-1.057466666666667,0.39733333333333337,0.06963592814139448,0.09333333333333332,1,1.0,1,1.0,1,1.0,1,0.9997,1,0.9997,1,0.9995,1,0.9976,1,0.9857,1,0.8209
s1050_n342,342,110.08771929824559,0.523391812865497,-0.06315789473684219,0.2894736842105263,0.12995953798335075,0.02631578947368421,1,0.9967,1,0.9975,1,0.9985,1,0.984,1,0.9844,1,0.981,1,0.7576,0,0.02765,0,0.02888
s1051_n364,364,112.99450549450549,0.7005494505494505,-0.7541208791208792,0.5054945054945055,0.49600659888003623,0.07692307692307693,1,0.9999,1,0.9992,1,0.9983,1,0.9993,1,0.9996,1,0.9997,1,0.999,1,0.9989,1,0.9984
s1052_n449,449,76.83741648106903,0.2650334075723831,0.07906458797327398,0.10690423162583518,0.6020599913279624,0.017817371937639197,1,0.5275,0,0.2782,0,0.05489,0,0.1733,0,0.2034,0,0.04777,0,0.01047,0,7.088e-05,0,4.458e-06
s1053_n469,469,84.64818763326227,0.584221748400853,-0.7827292110874201,0.38805970149253727,0.8239087409443188,0.03624733475479744,1,0.994,1,0.638,1,0.6556,0,0.2432,1,0.6721,1,0.9493,1,0.9797,1,0.9688,1,0.8995
s1054_n536,536,117.08955223880596,0.5373134328358209,-0.6876865671641792,0.3936567164179105,0.053078443483419765,0.03917910447761194,1,0.9991,1,0.998,1,0.9904,1,0.994,1,0.9937,1,0.9983,1,0.9952,1,0.9955,1,0.9888
s1055_n566,566,94.08127208480566,0.27385159010600707,0.42897526501766786,0.037102473498233215,0.6766936096248665,0.06537102473498232,0,0.2746,0,0.375,0,0.1472,0,0.1155,0,0.004842,0,0.008586,0,0.007597,0,0.006404,0,5.336e-06
s1056_n606,606,112.64026402640263,0.3646864686468647,-0.7392739273927394,0.024752475247524754,0.26324143477458145,0.08745874587458746,1,0.9201,1,0.7688,1,0.8128,0,0.4083,0,0.3661,0,0.1858,0,0.4492,0,0.2641,0,0.002599
s1057_n697,697,116.1119081779053,0.4189383070301292,-0.4899569583931132,0.19799139167862265,0.01240925798181993,0.06743185078909612,1,0.5582,0,0.3633,0,0.4817,1,0.7508,0,0.1273,1,0.8146,0,0.01023,0,0.02401,0,0.01833
s1058_n700,700,107.18571428571428,0.3885714285714285,-0.38742857142857134,0.2657142857142857,-0.38348895147284195,0.05857142857142857,0,0.05123,0,0.04409,0,0.05365,0,0.156,0,0.003329,0,0.004085,0,0.01184,0,0.1434,0,0.004697
s1059_n785,785,83.51592356687898,0.41910828025477703,-0.4357961783439491,0.2611464968152866,0.5687349279177704,0.03821656050955414,0,0.3649,0,0.4163,0,0.2843,0,0.2633,0,0.05724,0,0.3374,0,0.4131,1,0.6058,0,0.05089
s1060_n305,305,76.62295081967214,0.4262295081967213,-0.5708196721311476,0.33114754098360655,0.11021547978759363,0.10819672131147542,1,0.9968,1,0.9935,1,0.9859,1,0.9818,1,0.9939,1,0.998,1,0.9952,1,0.9967,1,0.9892
s1061_n356,356,100.11235955056179,0.43820224719101125,-0.17415730337078666,0.25280898876404495,0.037788560889399754,0.03932584269662921,1,0.997,1,0.9983,1,0.9992,1,0.9709,1,0.9933,1,0.9963,1,0.8014,0,0.0003115,0,1.378e-05
s1062_n411,411,92.50608272506082,0.5206812652068127,-0.48442822384428236,0.3236009732360097,0.1895379827829276,0.051094890510948905,1,0.999,1,0.9994,1,0.9996,1,0.9953,1,0.9834,1,0.5464,1,0.6268,1,0.5271,0,0.1878
s1063_n467,467,96.59528907922912,0.5417558886509637,-0.7955032119914348,0.37687366167023556,0.17812542896613442,0.08565310492505353,1,0.9993,1,0.9992,1,0.9988,1,0.9975,1,0.9977,1,0.9986,1,0.9963,1,0.9953,1,0.994
s1064_n533,533,65.36585365853658,0.3527204502814259,-0.5090056285178235,0.2232645403377111,-0.16713641640275478,0.005628517823639775,0,0.3496,0,0.1691,0,0.1233,0,0.1194,0,0.1032,0,0.01115,0,0.0007373,0,2.342e-06,0,8.743e-08
s1065_n590,590,137.66101694915253,0.5067796610169492,-0.26525423728813546,0.22203389830508477,-0.09837970808883197,0.09830508474576272,1,0.9983,1,0.9895,1,0.9644,1,0.9824,1,0.9459,1,0.9916,1,0.7452,1,0.6237,1,0.9605
s1066_n645,645,80.46511627906976,0.24961240310077518,-0.03705426356589159,0.013953488372093023,0.24303804868629444,0.034108527131782945,1,0.9571,1,0.9477,1,0.9055,1,0.8875,1,0.8234,1,0.7598,1,0.6762,1,0.5661,0,0.01924
s1067_n657,657,56.940639269406375,0.1354642313546423,-0.4978691019786911,0.0,0.0,0.0,1,0.7898,1,0.8282,0,0.4245,1,0.5927,0,0.2179,0,0.1085,0,0.01295,0,0.001632,0,6.847e-05
s1068_n742,742,56.18598382749327,0.11185983827493262,0.25970350404312675,0.0,0.0,0.11320754716981132,0,0.04577,0,0.05281,0,0.01659,0,0.04807,0,0.04748,0,0.004629,0,0.0008436,0,0.0006001,0,0.0002085
s1069_n752,752,108.49734042553192,0.3617021276595744,-0.7373670212765957,0.07446808510638298,0.24598242933307582,0.045212765957446804,1,0.9977,1,0.985,1,0.9897,1,0.9184,1,0.8619,1,0.643,1,0.8049,0,0.4937,0,0.008196
s1070_n308,308,78.92857142857143,0.39285714285714285,-0.650974025974026,0.2597402597402597,0.3089989253352566,0.09090909090909091,1,0.9742,1,0.9692,1,0.9655,1,0.9386,1,0.95,1,0.9465,1,0.8099,1,0.7761,0,0.1574
s1071_n365,365,88.65753424657534,0.43561643835616437,-0.888767123287671,0.3178082191780822,0.17916049078335777,0.07945205479452054,1,0.887,1,0.7564,1,0.8378,1,0.897,1,0.6717,1,0.9108,0,0.2139,0,0.2112,0,0.2078
s1072_n423,423,97.73049645390071,0.42553191489361697,-0.7446808510638299,0.22458628841607567,0.06279082985945553,0.08274231678486997,1,0.9802,1,0.9735,1,0.919,1,0.9495,1,0.9443,1,0.9825,1,0.9582,1,0.9405,1,0.9578
s1073_n471,471,107.8131634819533,0.5392781316348195,-0.6687898089171977,0.39490445859872614,0.1397994066501822,0.08280254777070063,1,0.9998,1,0.9995,1,0.9993,1,0.9989,1,0.9984,1,0.999,1,0.9897,1,0.9702,1,0.9873
s1074_n536,536,109.64552238805969,0.5914179104477612,-0.45130597014925355,0.39365671641791045,-0.06947176466111685,0.009328358208955223,1,0.9988,1,0.9993,1,0.9997,1,0.9932,1,0.9951,1,0.998,1,0.8932,0,0.00658,0,0.002193
s1075_n590,590,78.0,0.3932203389830508,-0.4593220338983049,0.3169491525423729,1.0050795255292748,0.020338983050847456,1,0.9417,0,0.3836,0,0.3945,1,0.6058,1,0.9246,1,0.9039,0,0.4452,0,0.03216,0,0.00649
s1076_n628,628,106.49681528662418,0.7468152866242038,-0.6495222929936308,0.47770700636942676,0.8038566506185455,0.04777070063694267,1,0.9999,1,0.999,1,0.999,1,0.9991,1,0.9996,1,0.9998,1,0.9984,1,0.9994,1,0.9958
s1077_n650,650,100.6,0.5953846153846154,-0.5946153846153845,0.3538461538461538,-0.022468517909111058,0.04307692307692308,1,0.9998,1,0.9998,1,0.9998,1,0.9978,1,0.9992,1,0.9993,1,0.9931,0,0.03489,0,0.006499
s1078_n709,709,119.44992947813824,0.53737658674189,-0.42045133991537387,0.32299012693935125,0.06403790747702548,0.11142454160789844,1,0.9982,1,0.9968,1,0.9956,1,0.9949,1,0.9906,1,0.9974,1,0.9552,1,0.9182,1,0.9778
s1079_n772,772,119.63730569948186,0.4339378238341969,-0.553756476683938,0.2603626943005181,-0.13368741050259397,0.06217616580310881,1,0.9817,1,0.9259,1,0.8003,1,0.9312,1,0.7359,1,0.9764,0,0.1326,0,0.1529,1,0.8257
s1080_n328,328,84.54268292682927,0.375,-0.11676829268292671,0.25,0.08297423506476392,0.039634146341463415,1,0.9118,1,0.7978,1,0.718,0,0.4498,0,0.1522,0,0.08057,0,0.002309,0,0.000493,0,0.0001843
s1081_n377,377,89.44297082228117,0.35278514588859416,-0.0795755968169759,0.09283819628647215,0.4313637641589874,0.07692307692307693,1,0.997,1,0.9929,1,0.9873,1,0.9617,1,0.9148,1,0.8881,1,0.8005,1,0.8125,0,0.09144
s1082_n437,437,60.91533180778031,0.24713958810068648,-0.05102974828375295,0.16247139588100687,0.7993405494535817,0.05720823798627002,0,0.08027,0,0.01927,0,0.0183,0,0.006173,0,0.0452,0,0.02336,0,0.002489,0,0.004402,0,0.0001679
s1083_n450,450,109.04444444444445,0.45111111111111113,-0.4740000000000001,0.24666666666666665,0.38457604711405613,0.015555555555555555,1,0.6197,0,0.4217,1,0.5371,0,0.222,0,0.1802,0,0.03356,0,0.02327,0,1.108e-05,0,4.319e-07
s1084_n510,510,66.47058823529412,0.30980392156862746,-0.5266666666666666,0.18039215686274512,0.4895305127014824,0.050980392156862744,1,0.6991,0,0.4818,1,0.5981,0,0.4272,0,0.4208,0,0.1485,0,0.1535,0,0.0004033,0,6.482e-06
s1085_n564,564,10.460992907801419,0.06382978723404255,-0.7558510638297871,0.031914893617021274,1.2787536009528289,0.09929078014184398,0,0.1044,0,0.1189,0,0.07644,0,0.0392,0,0.01799,0,0.0002833,0,0.0001998,0,0.002174,0,0.0004544
s1086_n600,600,80.28333333333333,0.17333333333333334,0.5688333333333333,0.0033333333333333335,0.0,0.0,0,0.4246,0,0.3987,0,0.1602,0,0.1282,0,0.303,0,0.2296,0,0.03456,0,0.0001901,0,9.244e-06
s1087_n652,652,101.7791411042945,0.3650306748466257,-0.6136503067484662,0.2177914110429448,-0.04830467957455503,0.05368098159509202,1,0.7328,1,0.5566,1,0.5195,1,0.8125,0,0.2549,1,0.918,0,0.03991,0,0.09826,0,0.05765
s1088_n735,735,57.51020408163265,0.14693877551020407,-0.23768707482993195,0.06802721088435373,0.13469857389745615,0.024489795918367346,1,0.9013,1,0.8695,0,0.3689,1,0.523,0,0.3957,0,0.3778,0,0.1166,0,0.03997,0,0.002148
s1089_n778,778,74.34447300771208,0.20179948586118251,-0.4051413881748073,0.0038560411311053984,0.17609125905568124,0.0012853470437017994,1,0.5804,1,0.5065,0,0.07498,0,0.1942,0,0.04998,0,0.02115,0,0.006945,0,0.0002536,0,5.871e-06
s1090_n333,333,101.95195195195194,0.4894894894894895,-0.26876876876876893,0.3093093093093093,-0.2643071886392413,0.015015015015015015,1,0.9987,1,0.9993,1,0.9993,1,0.9903,1,0.9637,1,0.9859,0,0.3432,0,0.003696,0,0.001309
s1091_n397,397,100.68010075566751,0.3904282115869017,-0.782367758186398,0.28463476070528965,-0.3952999125058292,0.07052896725440806,1,0.9975,1,0.9962,1,0.9422,1,0.9847,1,0.9663,1,0.9876,1,0.945,1,0.7863,1,0.8877
s1092_n442,442,105.42986425339367,0.5226244343891402,-0.5558823529411765,0.33936651583710403,0.1856365769619116,0.11538461538461539,1,0.9996,1,0.9996,1,0.9994,1,0.9991,1,0.9987,1,0.9993,1,0.9964,1,0.9906,1,0.9907
s1093_n486,486,98.8477366255144,0.5246913580246914,-0.6954732510288065,0.3806584362139918,0.12629379069326602,0.10905349794238683,1,1.0,1,0.9999,1,0.9999,1,0.9996,1,0.9995,1,0.9996,1,0.9978,1,0.9951,1,0.9936
s1094_n524,524,62.44274809160305,0.20419847328244278,-0.7666030534351146,0.03435114503816794,0.17609125905568124,0.05916030534351145,0,0.461,1,0.5675,0,0.1851,0,0.08054,0,0.01461,0,0.008388,0,0.01411,0,0.001233,0,1.586e-06
s1095_n592,592,113.1081081081081,0.46790540540540543,-0.723310810810811,0.2516891891891892,0.20505495499099796,0.04054054054054054,1,0.8981,1,0.8527,1,0.7067,1,0.701,1,0.628,1,0.9092,1,0.8096,1,0.8782,1,0.6303
s1096_n618,618,86.84466019417476,0.32038834951456313,-0.681877022653722,0.13592233009708737,0.12199435596151867,0.05016181229773463,1,0.5891,0,0.3908,0,0.3562,0,0.4794,0,0.1132,1,0.528,0,0.007007,0,0.01155,0,0.0007463
s1097_n677,677,82.7178729689808,0.4446085672082718,-1.0180206794682425,0.33382570162481534,0.15397694476510895,0.0014771048744460858,1,0.9871,1,0.9525,1,0.9334,1,0.7301,1,0.7879,1,0.5316,0,0.4424,0,0.1351,0,0.003119
s1098_n708,708,103.1638418079096,0.5098870056497177,-0.12231638418079088,0.2867231638418079,0.19382002601611276,0.015536723163841809,1,0.8765,1,0.8267,1,0.8355,1,0.7082,1,0.8381,1,0.8276,0,0.2708,0,0.02084,0,0.003167
s1099_n768,768,107.2265625,0.6223958333333334,-0.5838541666666668,0.4127604166666667,-0.04087288320281075,0.005208333333333333,1,0.9999,1,1.0,1,1.0,1,0.9991,1,0.9997,1,0.9998,1,0.9885,0,0.002595,0,0.0002116
s1100_n339,339,122.53687315634218,0.39823008849557523,-0.5106194690265488,0.1327433628318584,-0.01848340569401313,0.0471976401179941,1,0.605,0,0.4661,0,0.4715,1,0.7137,0,0.3621,1,0.9361,0,0.03259,0,0.09992,0,0.185
s1101_n380,380,84.18421052631578,0.2026315789473684,0.7147368421052631,0.05,0.3010299956639812,0.031578947368421054,0,0.3239,0,0.4524,0,0.03402,0,0.06337,0,0.05438,0,0.02926,0,0.01366,0,0.001976,0,2.919e-05
s1102_n449,449,99.44320712694876,0.5367483296213809,-0.8115812917594653,0.38084632516703787,0.10595814198545353,0.12249443207126949,1,0.994,1,0.9757,1,0.981,1,0.9913,1,0.9735,1,0.9969,1,0.9571,1,0.8782,1,0.9782
s1103_n486,486,110.51440329218107,0.5164609053497943,-0.5121399176954732,0.37860082304526754,0.04674340354232619,0.09465020576131687,1,0.9999,1,0.9999,1,0.9997,1,0.9995,1,0.9991,1,0.9993,1,0.9967,1,0.991,1,0.9925
s1104_n506,506,120.23715415019763,0.6205533596837944,-0.593675889328063,0.4367588932806324,0.21046016068694373,0.07114624505928854,1,1.0,1,0.9999,1,0.9998,1,0.9996,1,0.9997,1,0.9999,1,0.9989,1,0.998,1,0.9972
s1105_n599,599,46.410684474123535,0.14858096828046743,-0.590651085141903,0.0,0.0,0.060100166944908176,1,0.9113,1,0.8886,1,0.6926,1,0.8203,0,0.4186,1,0.6372,0,0.1938,0,0.01404,0,0.0001189
s1106_n616,616,100.27597402597404,0.637987012987013,-0.7995129870129872,0.4253246753246753,0.12589850380974973,0.024350649350649352,1,1.0,1,1.0,1,1.0,1,0.9998,1,0.9999,1,0.9999,1,0.9936,0,0.01326,0,0.001856
s1107_n694,694,42.34870317002881,0.17723342939481268,-0.41729106628242085,0.07348703170028818,1.7160033436347992,0.13544668587896252,0,0.2033,0,0.219,0,0.119,0,0.1016,0,0.04974,0,0.004204,0,0.003862,0,0.0001306,0,2.264e-06
s1108_n746,746,106.26005361930295,0.41018766756032177,-0.5128686327077749,0.10455764075067024,0.5371191843949478,0.0482573726541555,0,0.3711,0,0.3293,0,0.3448,0,0.3027,0,0.1078,0,0.01382,0,0.05033,0,0.002511,0,1.573e-05
