header,subrun,orig_id,length,source_path,camsol_ph7,pH
steerCT_n400__camsol_max_w1__s45_n400,camsol_max_w1,s45_n400,400,/home/ks2218/la-proteina/results/steering_camsol_tango_L500_nsteps400/camsol_max_w1/sequences_guided.fasta,2.683175,7.00
steerCT_n400__camsol_max_w1__s45_n500,camsol_max_w1,s45_n500,500,/home/ks2218/la-proteina/results/steering_camsol_tango_L500_nsteps400/camsol_max_w1/sequences_guided.fasta,3.316993,7.00
steerCT_n400__camsol_max_w1__s46_n300,camsol_max_w1,s46_n300,300,/home/ks2218/la-proteina/results/steering_camsol_tango_L500_nsteps400/camsol_max_w1/sequences_guided.fasta,2.256561,7.00
steerCT_n400__camsol_max_w1__s46_n400,camsol_max_w1,s46_n400,400,/home/ks2218/la-proteina/results/steering_camsol_tango_L500_nsteps400/camsol_max_w1/sequences_guided.fasta,0.642398,7.00
steerCT_n400__camsol_max_w1__s46_n500,camsol_max_w1,s46_n500,500,/home/ks2218/la-proteina/results/steering_camsol_tango_L500_nsteps400/camsol_max_w1/sequences_guided.fasta,1.508143,7.00
steerCT_n400__camsol_max_w1__s47_n300,camsol_max_w1,s47_n300,300,/home/ks2218/la-proteina/results/steering_camsol_tango_L500_nsteps400/camsol_max_w1/sequences_guided.fasta,2.529855,7.00
steerCT_n400__camsol_max_w1__s47_n400,camsol_max_w1,s47_n400,400,/home/ks2218/la-proteina/results/steering_camsol_tango_L500_nsteps400/camsol_max_w1/sequences_guided.fasta,5.780395,7.00
steerCT_n400__camsol_max_w1__s47_n500,camsol_max_w1,s47_n500,500,/home/ks2218/la-proteina/results/steering_camsol_tango_L500_nsteps400/camsol_max_w1/sequences_guided.fasta,-3.332703,7.00
steerCT_n400__camsol_max_w1__s48_n300,camsol_max_w1,s48_n300,300,/home/ks2218/la-proteina/results/steering_camsol_tango_L500_nsteps400/camsol_max_w1/sequences_guided.fasta,1.776306,7.00
steerCT_n400__camsol_max_w1__s48_n400,camsol_max_w1,s48_n400,400,/home/ks2218/la-proteina/results/steering_camsol_tango_L500_nsteps400/camsol_max_w1/sequences_guided.fasta,2.705285,7.00
steerCT_n400__camsol_max_w1__s48_n500,camsol_max_w1,s48_n500,500,/home/ks2218/la-proteina/results/steering_camsol_tango_L500_nsteps400/camsol_max_w1/sequences_guided.fasta,0.381271,7.00
steerCT_n400__camsol_max_w1__s49_n300,camsol_max_w1,s49_n300,300,/home/ks2218/la-proteina/results/steering_camsol_tango_L500_nsteps400/camsol_max_w1/sequences_guided.fasta,0.289656,7.00
steerCT_n400__camsol_max_w1__s49_n400,camsol_max_w1,s49_n400,400,/home/ks2218/la-proteina/results/steering_camsol_tango_L500_nsteps400/camsol_max_w1/sequences_guided.fasta,1.538404,7.00
steerCT_n400__camsol_max_w1__s49_n500,camsol_max_w1,s49_n500,500,/home/ks2218/la-proteina/results/steering_camsol_tango_L500_nsteps400/camsol_max_w1/sequences_guided.fasta,0.873786,7.00
steerCT_n400__camsol_max_w1__s50_n300,camsol_max_w1,s50_n300,300,/home/ks2218/la-proteina/results/steering_camsol_tango_L500_nsteps400/camsol_max_w1/sequences_guided.fasta,0.769152,7.00
steerCT_n400__camsol_max_w1__s50_n400,camsol_max_w1,s50_n400,400,/home/ks2218/la-proteina/results/steering_camsol_tango_L500_nsteps400/camsol_max_w1/sequences_guided.fasta,2.703987,7.00
steerCT_n400__camsol_max_w1__s50_n500,camsol_max_w1,s50_n500,500,/home/ks2218/la-proteina/results/steering_camsol_tango_L500_nsteps400/camsol_max_w1/sequences_guided.fasta,1.127686,7.00
steerCT_n400__camsol_max_w1__s51_n300,camsol_max_w1,s51_n300,300,/home/ks2218/la-proteina/results/steering_camsol_tango_L500_nsteps400/camsol_max_w1/sequences_guided.fasta,2.817385,7.00
steerCT_n400__camsol_max_w1__s51_n400,camsol_max_w1,s51_n400,400,/home/ks2218/la-proteina/results/steering_camsol_tango_L500_nsteps400/camsol_max_w1/sequences_guided.fasta,0.786446,7.00
steerCT_n400__camsol_max_w1__s51_n500,camsol_max_w1,s51_n500,500,/home/ks2218/la-proteina/results/steering_camsol_tango_L500_nsteps400/camsol_max_w1/sequences_guided.fasta,-0.497687,7.00
steerCT_n400__camsol_max_w1__s52_n300,camsol_max_w1,s52_n300,300,/home/ks2218/la-proteina/results/steering_camsol_tango_L500_nsteps400/camsol_max_w1/sequences_guided.fasta,2.029300,7.00
steerCT_n400__camsol_max_w1__s52_n400,camsol_max_w1,s52_n400,400,/home/ks2218/la-proteina/results/steering_camsol_tango_L500_nsteps400/camsol_max_w1/sequences_guided.fasta,2.035307,7.00
steerCT_n400__camsol_max_w1__s52_n500,camsol_max_w1,s52_n500,500,/home/ks2218/la-proteina/results/steering_camsol_tango_L500_nsteps400/camsol_max_w1/sequences_guided.fasta,2.262420,7.00
steerCT_n400__camsol_max_w1__s53_n300,camsol_max_w1,s53_n300,300,/home/ks2218/la-proteina/results/steering_camsol_tango_L500_nsteps400/camsol_max_w1/sequences_guided.fasta,2.565811,7.00
steerCT_n400__camsol_max_w1__s53_n400,camsol_max_w1,s53_n400,400,/home/ks2218/la-proteina/results/steering_camsol_tango_L500_nsteps400/camsol_max_w1/sequences_guided.fasta,1.851195,7.00
steerCT_n400__camsol_max_w1__s53_n500,camsol_max_w1,s53_n500,500,/home/ks2218/la-proteina/results/steering_camsol_tango_L500_nsteps400/camsol_max_w1/sequences_guided.fasta,0.452914,7.00
steerCT_n400__camsol_max_w1__s54_n300,camsol_max_w1,s54_n300,300,/home/ks2218/la-proteina/results/steering_camsol_tango_L500_nsteps400/camsol_max_w1/sequences_guided.fasta,0.116374,7.00
steerCT_n400__camsol_max_w1__s54_n400,camsol_max_w1,s54_n400,400,/home/ks2218/la-proteina/results/steering_camsol_tango_L500_nsteps400/camsol_max_w1/sequences_guided.fasta,2.427546,7.00
steerCT_n400__camsol_max_w1__s54_n500,camsol_max_w1,s54_n500,500,/home/ks2218/la-proteina/results/steering_camsol_tango_L500_nsteps400/camsol_max_w1/sequences_guided.fasta,-0.388987,7.00
steerCT_n400__camsol_max_w1__s55_n300,camsol_max_w1,s55_n300,300,/home/ks2218/la-proteina/results/steering_camsol_tango_L500_nsteps400/camsol_max_w1/sequences_guided.fasta,2.172869,7.00
steerCT_n400__camsol_max_w1__s55_n400,camsol_max_w1,s55_n400,400,/home/ks2218/la-proteina/results/steering_camsol_tango_L500_nsteps400/camsol_max_w1/sequences_guided.fasta,1.006551,7.00
steerCT_n400__camsol_max_w1__s55_n500,camsol_max_w1,s55_n500,500,/home/ks2218/la-proteina/results/steering_camsol_tango_L500_nsteps400/camsol_max_w1/sequences_guided.fasta,1.808672,7.00
steerCT_n400__camsol_max_w1__s56_n300,camsol_max_w1,s56_n300,300,/home/ks2218/la-proteina/results/steering_camsol_tango_L500_nsteps400/camsol_max_w1/sequences_guided.fasta,3.128242,7.00
steerCT_n400__camsol_max_w1__s56_n400,camsol_max_w1,s56_n400,400,/home/ks2218/la-proteina/results/steering_camsol_tango_L500_nsteps400/camsol_max_w1/sequences_guided.fasta,0.775415,7.00
steerCT_n400__camsol_max_w1__s56_n500,camsol_max_w1,s56_n500,500,/home/ks2218/la-proteina/results/steering_camsol_tango_L500_nsteps400/camsol_max_w1/sequences_guided.fasta,3.224506,7.00
steerCT_n400__camsol_max_w1__s57_n300,camsol_max_w1,s57_n300,300,/home/ks2218/la-proteina/results/steering_camsol_tango_L500_nsteps400/camsol_max_w1/sequences_guided.fasta,2.400258,7.00
steerCT_n400__camsol_max_w1__s57_n400,camsol_max_w1,s57_n400,400,/home/ks2218/la-proteina/results/steering_camsol_tango_L500_nsteps400/camsol_max_w1/sequences_guided.fasta,1.942314,7.00
steerCT_n400__camsol_max_w1__s57_n500,camsol_max_w1,s57_n500,500,/home/ks2218/la-proteina/results/steering_camsol_tango_L500_nsteps400/camsol_max_w1/sequences_guided.fasta,0.246344,7.00
steerCT_n400__camsol_max_w16__s42_n300,camsol_max_w16,s42_n300,300,/home/ks2218/la-proteina/results/steering_camsol_tango_L500_nsteps400/camsol_max_w16/sequences_guided.fasta,1.956964,7.00
steerCT_n400__camsol_max_w16__s42_n400,camsol_max_w16,s42_n400,400,/home/ks2218/la-proteina/results/steering_camsol_tango_L500_nsteps400/camsol_max_w16/sequences_guided.fasta,2.502155,7.00
steerCT_n400__camsol_max_w16__s42_n500,camsol_max_w16,s42_n500,500,/home/ks2218/la-proteina/results/steering_camsol_tango_L500_nsteps400/camsol_max_w16/sequences_guided.fasta,2.484087,7.00
steerCT_n400__camsol_max_w16__s43_n300,camsol_max_w16,s43_n300,300,/home/ks2218/la-proteina/results/steering_camsol_tango_L500_nsteps400/camsol_max_w16/sequences_guided.fasta,1.512414,7.00
steerCT_n400__camsol_max_w16__s43_n400,camsol_max_w16,s43_n400,400,/home/ks2218/la-proteina/results/steering_camsol_tango_L500_nsteps400/camsol_max_w16/sequences_guided.fasta,2.037494,7.00
steerCT_n400__camsol_max_w16__s43_n500,camsol_max_w16,s43_n500,500,/home/ks2218/la-proteina/results/steering_camsol_tango_L500_nsteps400/camsol_max_w16/sequences_guided.fasta,3.597926,7.00
steerCT_n400__camsol_max_w16__s44_n300,camsol_max_w16,s44_n300,300,/home/ks2218/la-proteina/results/steering_camsol_tango_L500_nsteps400/camsol_max_w16/sequences_guided.fasta,2.015784,7.00
steerCT_n400__camsol_max_w16__s44_n400,camsol_max_w16,s44_n400,400,/home/ks2218/la-proteina/results/steering_camsol_tango_L500_nsteps400/camsol_max_w16/sequences_guided.fasta,-0.860196,7.00
steerCT_n400__camsol_max_w16__s44_n500,camsol_max_w16,s44_n500,500,/home/ks2218/la-proteina/results/steering_camsol_tango_L500_nsteps400/camsol_max_w16/sequences_guided.fasta,2.240661,7.00
steerCT_n400__camsol_max_w16__s45_n300,camsol_max_w16,s45_n300,300,/home/ks2218/la-proteina/results/steering_camsol_tango_L500_nsteps400/camsol_max_w16/sequences_guided.fasta,3.272430,7.00
steerCT_n400__camsol_max_w16__s45_n400,camsol_max_w16,s45_n400,400,/home/ks2218/la-proteina/results/steering_camsol_tango_L500_nsteps400/camsol_max_w16/sequences_guided.fasta,3.005307,7.00
steerCT_n400__camsol_max_w16__s45_n500,camsol_max_w16,s45_n500,500,/home/ks2218/la-proteina/results/steering_camsol_tango_L500_nsteps400/camsol_max_w16/sequences_guided.fasta,3.344539,7.00
steerCT_n400__camsol_max_w16__s46_n300,camsol_max_w16,s46_n300,300,/home/ks2218/la-proteina/results/steering_camsol_tango_L500_nsteps400/camsol_max_w16/sequences_guided.fasta,2.385725,7.00
steerCT_n400__camsol_max_w16__s46_n400,camsol_max_w16,s46_n400,400,/home/ks2218/la-proteina/results/steering_camsol_tango_L500_nsteps400/camsol_max_w16/sequences_guided.fasta,0.651473,7.00
steerCT_n400__camsol_max_w16__s46_n500,camsol_max_w16,s46_n500,500,/home/ks2218/la-proteina/results/steering_camsol_tango_L500_nsteps400/camsol_max_w16/sequences_guided.fasta,1.603373,7.00
steerCT_n400__camsol_max_w16__s47_n300,camsol_max_w16,s47_n300,300,/home/ks2218/la-proteina/results/steering_camsol_tango_L500_nsteps400/camsol_max_w16/sequences_guided.fasta,2.795421,7.00
steerCT_n400__camsol_max_w16__s47_n400,camsol_max_w16,s47_n400,400,/home/ks2218/la-proteina/results/steering_camsol_tango_L500_nsteps400/camsol_max_w16/sequences_guided.fasta,5.930422,7.00
steerCT_n400__camsol_max_w16__s47_n500,camsol_max_w16,s47_n500,500,/home/ks2218/la-proteina/results/steering_camsol_tango_L500_nsteps400/camsol_max_w16/sequences_guided.fasta,-3.285519,7.00
steerCT_n400__camsol_max_w16__s48_n300,camsol_max_w16,s48_n300,300,/home/ks2218/la-proteina/results/steering_camsol_tango_L500_nsteps400/camsol_max_w16/sequences_guided.fasta,2.710526,7.00
steerCT_n400__camsol_max_w16__s48_n400,camsol_max_w16,s48_n400,400,/home/ks2218/la-proteina/results/steering_camsol_tango_L500_nsteps400/camsol_max_w16/sequences_guided.fasta,3.095653,7.00
steerCT_n400__camsol_max_w16__s48_n500,camsol_max_w16,s48_n500,500,/home/ks2218/la-proteina/results/steering_camsol_tango_L500_nsteps400/camsol_max_w16/sequences_guided.fasta,0.585940,7.00
steerCT_n400__camsol_max_w16__s49_n300,camsol_max_w16,s49_n300,300,/home/ks2218/la-proteina/results/steering_camsol_tango_L500_nsteps400/camsol_max_w16/sequences_guided.fasta,0.289656,7.00
steerCT_n400__camsol_max_w16__s49_n400,camsol_max_w16,s49_n400,400,/home/ks2218/la-proteina/results/steering_camsol_tango_L500_nsteps400/camsol_max_w16/sequences_guided.fasta,1.682986,7.00
steerCT_n400__camsol_max_w16__s49_n500,camsol_max_w16,s49_n500,500,/home/ks2218/la-proteina/results/steering_camsol_tango_L500_nsteps400/camsol_max_w16/sequences_guided.fasta,1.683841,7.00
steerCT_n400__camsol_max_w16__s50_n300,camsol_max_w16,s50_n300,300,/home/ks2218/la-proteina/results/steering_camsol_tango_L500_nsteps400/camsol_max_w16/sequences_guided.fasta,1.054002,7.00
steerCT_n400__camsol_max_w16__s50_n400,camsol_max_w16,s50_n400,400,/home/ks2218/la-proteina/results/steering_camsol_tango_L500_nsteps400/camsol_max_w16/sequences_guided.fasta,3.265219,7.00
steerCT_n400__camsol_max_w16__s50_n500,camsol_max_w16,s50_n500,500,/home/ks2218/la-proteina/results/steering_camsol_tango_L500_nsteps400/camsol_max_w16/sequences_guided.fasta,1.134641,7.00
steerCT_n400__camsol_max_w16__s51_n300,camsol_max_w16,s51_n300,300,/home/ks2218/la-proteina/results/steering_camsol_tango_L500_nsteps400/camsol_max_w16/sequences_guided.fasta,3.307949,7.00
steerCT_n400__camsol_max_w16__s51_n400,camsol_max_w16,s51_n400,400,/home/ks2218/la-proteina/results/steering_camsol_tango_L500_nsteps400/camsol_max_w16/sequences_guided.fasta,1.515811,7.00
steerCT_n400__camsol_max_w16__s51_n500,camsol_max_w16,s51_n500,500,/home/ks2218/la-proteina/results/steering_camsol_tango_L500_nsteps400/camsol_max_w16/sequences_guided.fasta,-0.392934,7.00
steerCT_n400__camsol_max_w16__s52_n300,camsol_max_w16,s52_n300,300,/home/ks2218/la-proteina/results/steering_camsol_tango_L500_nsteps400/camsol_max_w16/sequences_guided.fasta,2.157488,7.00
steerCT_n400__camsol_max_w16__s52_n400,camsol_max_w16,s52_n400,400,/home/ks2218/la-proteina/results/steering_camsol_tango_L500_nsteps400/camsol_max_w16/sequences_guided.fasta,2.467801,7.00
steerCT_n400__camsol_max_w16__s52_n500,camsol_max_w16,s52_n500,500,/home/ks2218/la-proteina/results/steering_camsol_tango_L500_nsteps400/camsol_max_w16/sequences_guided.fasta,2.381349,7.00
steerCT_n400__camsol_max_w16__s53_n300,camsol_max_w16,s53_n300,300,/home/ks2218/la-proteina/results/steering_camsol_tango_L500_nsteps400/camsol_max_w16/sequences_guided.fasta,2.600188,7.00
steerCT_n400__camsol_max_w16__s53_n400,camsol_max_w16,s53_n400,400,/home/ks2218/la-proteina/results/steering_camsol_tango_L500_nsteps400/camsol_max_w16/sequences_guided.fasta,1.991874,7.00
steerCT_n400__camsol_max_w16__s53_n500,camsol_max_w16,s53_n500,500,/home/ks2218/la-proteina/results/steering_camsol_tango_L500_nsteps400/camsol_max_w16/sequences_guided.fasta,0.586472,7.00
steerCT_n400__camsol_max_w16__s54_n300,camsol_max_w16,s54_n300,300,/home/ks2218/la-proteina/results/steering_camsol_tango_L500_nsteps400/camsol_max_w16/sequences_guided.fasta,0.537945,7.00
steerCT_n400__camsol_max_w16__s54_n400,camsol_max_w16,s54_n400,400,/home/ks2218/la-proteina/results/steering_camsol_tango_L500_nsteps400/camsol_max_w16/sequences_guided.fasta,2.626333,7.00
steerCT_n400__camsol_max_w16__s54_n500,camsol_max_w16,s54_n500,500,/home/ks2218/la-proteina/results/steering_camsol_tango_L500_nsteps400/camsol_max_w16/sequences_guided.fasta,-0.327768,7.00
steerCT_n400__camsol_max_w16__s55_n300,camsol_max_w16,s55_n300,300,/home/ks2218/la-proteina/results/steering_camsol_tango_L500_nsteps400/camsol_max_w16/sequences_guided.fasta,2.232462,7.00
steerCT_n400__camsol_max_w16__s55_n400,camsol_max_w16,s55_n400,400,/home/ks2218/la-proteina/results/steering_camsol_tango_L500_nsteps400/camsol_max_w16/sequences_guided.fasta,1.392211,7.00
steerCT_n400__camsol_max_w16__s55_n500,camsol_max_w16,s55_n500,500,/home/ks2218/la-proteina/results/steering_camsol_tango_L500_nsteps400/camsol_max_w16/sequences_guided.fasta,2.031788,7.00
steerCT_n400__camsol_max_w16__s56_n300,camsol_max_w16,s56_n300,300,/home/ks2218/la-proteina/results/steering_camsol_tango_L500_nsteps400/camsol_max_w16/sequences_guided.fasta,3.263067,7.00
steerCT_n400__camsol_max_w16__s56_n400,camsol_max_w16,s56_n400,400,/home/ks2218/la-proteina/results/steering_camsol_tango_L500_nsteps400/camsol_max_w16/sequences_guided.fasta,1.022479,7.00
steerCT_n400__camsol_max_w16__s56_n500,camsol_max_w16,s56_n500,500,/home/ks2218/la-proteina/results/steering_camsol_tango_L500_nsteps400/camsol_max_w16/sequences_guided.fasta,3.623436,7.00
steerCT_n400__camsol_max_w16__s57_n300,camsol_max_w16,s57_n300,300,/home/ks2218/la-proteina/results/steering_camsol_tango_L500_nsteps400/camsol_max_w16/sequences_guided.fasta,2.784597,7.00
steerCT_n400__camsol_max_w16__s57_n400,camsol_max_w16,s57_n400,400,/home/ks2218/la-proteina/results/steering_camsol_tango_L500_nsteps400/camsol_max_w16/sequences_guided.fasta,2.037868,7.00
steerCT_n400__camsol_max_w16__s57_n500,camsol_max_w16,s57_n500,500,/home/ks2218/la-proteina/results/steering_camsol_tango_L500_nsteps400/camsol_max_w16/sequences_guided.fasta,0.775658,7.00
steerCT_n400__camsol_max_w2__s42_n300,camsol_max_w2,s42_n300,300,/home/ks2218/la-proteina/results/steering_camsol_tango_L500_nsteps400/camsol_max_w2/sequences_guided.fasta,1.736347,7.00
steerCT_n400__camsol_max_w2__s42_n400,camsol_max_w2,s42_n400,400,/home/ks2218/la-proteina/results/steering_camsol_tango_L500_nsteps400/camsol_max_w2/sequences_guided.fasta,2.282302,7.00
steerCT_n400__camsol_max_w2__s42_n500,camsol_max_w2,s42_n500,500,/home/ks2218/la-proteina/results/steering_camsol_tango_L500_nsteps400/camsol_max_w2/sequences_guided.fasta,2.050128,7.00
steerCT_n400__camsol_max_w2__s43_n300,camsol_max_w2,s43_n300,300,/home/ks2218/la-proteina/results/steering_camsol_tango_L500_nsteps400/camsol_max_w2/sequences_guided.fasta,1.181021,7.00
steerCT_n400__camsol_max_w2__s43_n400,camsol_max_w2,s43_n400,400,/home/ks2218/la-proteina/results/steering_camsol_tango_L500_nsteps400/camsol_max_w2/sequences_guided.fasta,1.890917,7.00
steerCT_n400__camsol_max_w2__s43_n500,camsol_max_w2,s43_n500,500,/home/ks2218/la-proteina/results/steering_camsol_tango_L500_nsteps400/camsol_max_w2/sequences_guided.fasta,3.224112,7.00
steerCT_n400__camsol_max_w2__s44_n300,camsol_max_w2,s44_n300,300,/home/ks2218/la-proteina/results/steering_camsol_tango_L500_nsteps400/camsol_max_w2/sequences_guided.fasta,1.674272,7.00
steerCT_n400__camsol_max_w2__s44_n400,camsol_max_w2,s44_n400,400,/home/ks2218/la-proteina/results/steering_camsol_tango_L500_nsteps400/camsol_max_w2/sequences_guided.fasta,-0.826263,7.00
steerCT_n400__camsol_max_w2__s44_n500,camsol_max_w2,s44_n500,500,/home/ks2218/la-proteina/results/steering_camsol_tango_L500_nsteps400/camsol_max_w2/sequences_guided.fasta,2.076131,7.00
steerCT_n400__camsol_max_w2__s45_n300,camsol_max_w2,s45_n300,300,/home/ks2218/la-proteina/results/steering_camsol_tango_L500_nsteps400/camsol_max_w2/sequences_guided.fasta,3.010473,7.00
steerCT_n400__camsol_max_w2__s45_n400,camsol_max_w2,s45_n400,400,/home/ks2218/la-proteina/results/steering_camsol_tango_L500_nsteps400/camsol_max_w2/sequences_guided.fasta,2.749694,7.00
steerCT_n400__camsol_max_w2__s45_n500,camsol_max_w2,s45_n500,500,/home/ks2218/la-proteina/results/steering_camsol_tango_L500_nsteps400/camsol_max_w2/sequences_guided.fasta,3.316993,7.00
steerCT_n400__camsol_max_w2__s46_n300,camsol_max_w2,s46_n300,300,/home/ks2218/la-proteina/results/steering_camsol_tango_L500_nsteps400/camsol_max_w2/sequences_guided.fasta,2.308539,7.00
steerCT_n400__camsol_max_w2__s46_n400,camsol_max_w2,s46_n400,400,/home/ks2218/la-proteina/results/steering_camsol_tango_L500_nsteps400/camsol_max_w2/sequences_guided.fasta,0.550987,7.00
steerCT_n400__camsol_max_w2__s46_n500,camsol_max_w2,s46_n500,500,/home/ks2218/la-proteina/results/steering_camsol_tango_L500_nsteps400/camsol_max_w2/sequences_guided.fasta,1.508143,7.00
steerCT_n400__camsol_max_w2__s47_n300,camsol_max_w2,s47_n300,300,/home/ks2218/la-proteina/results/steering_camsol_tango_L500_nsteps400/camsol_max_w2/sequences_guided.fasta,2.529855,7.00
steerCT_n400__camsol_max_w2__s47_n400,camsol_max_w2,s47_n400,400,/home/ks2218/la-proteina/results/steering_camsol_tango_L500_nsteps400/camsol_max_w2/sequences_guided.fasta,5.780395,7.00
steerCT_n400__camsol_max_w2__s47_n500,camsol_max_w2,s47_n500,500,/home/ks2218/la-proteina/results/steering_camsol_tango_L500_nsteps400/camsol_max_w2/sequences_guided.fasta,-3.325223,7.00
steerCT_n400__camsol_max_w2__s48_n300,camsol_max_w2,s48_n300,300,/home/ks2218/la-proteina/results/steering_camsol_tango_L500_nsteps400/camsol_max_w2/sequences_guided.fasta,1.949039,7.00
steerCT_n400__camsol_max_w2__s48_n400,camsol_max_w2,s48_n400,400,/home/ks2218/la-proteina/results/steering_camsol_tango_L500_nsteps400/camsol_max_w2/sequences_guided.fasta,2.725673,7.00
steerCT_n400__camsol_max_w2__s48_n500,camsol_max_w2,s48_n500,500,/home/ks2218/la-proteina/results/steering_camsol_tango_L500_nsteps400/camsol_max_w2/sequences_guided.fasta,0.427879,7.00
steerCT_n400__camsol_max_w2__s49_n300,camsol_max_w2,s49_n300,300,/home/ks2218/la-proteina/results/steering_camsol_tango_L500_nsteps400/camsol_max_w2/sequences_guided.fasta,0.289656,7.00
steerCT_n400__camsol_max_w2__s49_n400,camsol_max_w2,s49_n400,400,/home/ks2218/la-proteina/results/steering_camsol_tango_L500_nsteps400/camsol_max_w2/sequences_guided.fasta,1.538404,7.00
steerCT_n400__camsol_max_w2__s49_n500,camsol_max_w2,s49_n500,500,/home/ks2218/la-proteina/results/steering_camsol_tango_L500_nsteps400/camsol_max_w2/sequences_guided.fasta,0.884916,7.00
steerCT_n400__camsol_max_w2__s50_n300,camsol_max_w2,s50_n300,300,/home/ks2218/la-proteina/results/steering_camsol_tango_L500_nsteps400/camsol_max_w2/sequences_guided.fasta,0.769152,7.00
steerCT_n400__camsol_max_w2__s50_n400,camsol_max_w2,s50_n400,400,/home/ks2218/la-proteina/results/steering_camsol_tango_L500_nsteps400/camsol_max_w2/sequences_guided.fasta,2.733951,7.00
steerCT_n400__camsol_max_w2__s50_n500,camsol_max_w2,s50_n500,500,/home/ks2218/la-proteina/results/steering_camsol_tango_L500_nsteps400/camsol_max_w2/sequences_guided.fasta,0.967428,7.00
steerCT_n400__camsol_max_w2__s51_n300,camsol_max_w2,s51_n300,300,/home/ks2218/la-proteina/results/steering_camsol_tango_L500_nsteps400/camsol_max_w2/sequences_guided.fasta,2.893912,7.00
steerCT_n400__camsol_max_w2__s51_n400,camsol_max_w2,s51_n400,400,/home/ks2218/la-proteina/results/steering_camsol_tango_L500_nsteps400/camsol_max_w2/sequences_guided.fasta,0.929206,7.00
steerCT_n400__camsol_max_w2__s51_n500,camsol_max_w2,s51_n500,500,/home/ks2218/la-proteina/results/steering_camsol_tango_L500_nsteps400/camsol_max_w2/sequences_guided.fasta,-0.419503,7.00
steerCT_n400__camsol_max_w2__s52_n300,camsol_max_w2,s52_n300,300,/home/ks2218/la-proteina/results/steering_camsol_tango_L500_nsteps400/camsol_max_w2/sequences_guided.fasta,2.024013,7.00
steerCT_n400__camsol_max_w2__s52_n400,camsol_max_w2,s52_n400,400,/home/ks2218/la-proteina/results/steering_camsol_tango_L500_nsteps400/camsol_max_w2/sequences_guided.fasta,2.035307,7.00
steerCT_n400__camsol_max_w2__s52_n500,camsol_max_w2,s52_n500,500,/home/ks2218/la-proteina/results/steering_camsol_tango_L500_nsteps400/camsol_max_w2/sequences_guided.fasta,2.252373,7.00
steerCT_n400__camsol_max_w2__s53_n300,camsol_max_w2,s53_n300,300,/home/ks2218/la-proteina/results/steering_camsol_tango_L500_nsteps400/camsol_max_w2/sequences_guided.fasta,2.628846,7.00
steerCT_n400__camsol_max_w2__s53_n400,camsol_max_w2,s53_n400,400,/home/ks2218/la-proteina/results/steering_camsol_tango_L500_nsteps400/camsol_max_w2/sequences_guided.fasta,1.825627,7.00
steerCT_n400__camsol_max_w2__s53_n500,camsol_max_w2,s53_n500,500,/home/ks2218/la-proteina/results/steering_camsol_tango_L500_nsteps400/camsol_max_w2/sequences_guided.fasta,0.381978,7.00
steerCT_n400__camsol_max_w2__s54_n300,camsol_max_w2,s54_n300,300,/home/ks2218/la-proteina/results/steering_camsol_tango_L500_nsteps400/camsol_max_w2/sequences_guided.fasta,0.116374,7.00
